h	/eItF; etF/	abbr.|指铅笔中的铅心）硬的|
harns		n.|<苏>脑|
harp	/hB:p; hBrp/	n.|竖琴；见附录；插图|
harpy	/5hB:pI; hBrpI/	n.|希腊神话中的）鸟身女妖（凶残的怪物；头部及身躯似女人；生有鸟翼与鸟爪）|
harry	/5hArI; hArI/	v.|以不断地要求、 询问等方式）打扰；烦扰（某人）；使烦恼|
harsh	/hB:F; hBrF/	adj.|粗糙而使人不舒服的；尤指）刺激人感官的|
hart	/hB:t; hBrt/	n.|或不变或作；长成的）公鹿（尤指红鹿）；参看|
harvest		n.|收获|
harz		|哈尔茨山[中欧](在德意志联邦共和国东北部和德意志民主共和国西南部)|
has		vbl.|have 的第三人称单数现在式|
hash	/hAF; hAF/	n.|回锅肉丁|
hasid		n.|[宗](犹太教)哈西德派教徒|
hasp	/hB:sp; ?@ hAsp; hAsp/	n.|门窗等的）搭扣（包括一带有铰链的金属条及一；形环；套上後可用挂锁锁住）|
hast		vbl.|have的第二人称单数现在式|
haste	/heIst; hest/	n.|急忙；匆忙|
haste makes waste		n.|欲速则不达|
hasty	/5heIstI; hestI/	adj.|急急忙忙的；过於匆忙的；仓促完成的|
hat	/hAt; hAt/	n.|帽子（通常指有檐的）|
hatch	/hAtF; hAtF/	n.|门、 地板或天花板上的）开；船的甲板上装卸货物的）舱|
hate	/heIt; het/	v.|憎恨；憎恶（某人[某事物]）|
hater		n.|怀恨在心者|
hath		vbl.|<废>have的第三人称单数现在式|
hatha		|yoga瑜伽气功|
hatred		n.|仇恨|
hatty		n.|Harriet|
haugh		n.|<苏>[地]河岸平台|
haul	/hR:l; hRl/	v.|用力拖或拉（某物）|
haulm		n.|茎|
haunt	/hR:nt; hRnt/	v.|指鬼魂）常出没於（某处）|
hausa		n.|豪撒族|
haut		|<法>|
have	/hEv; hEv; strong form 强读式 hAv; hAv/	v.|有；吃；进行|
have a ball		v.|玩得开心|
have a break		v.|休息一下|
have a chat		v.|聊天|
have a cold		v.|感冒|
have a dream		v.|做梦|
have a gift for		v.|有……天赋|
have a good time		v.|玩得愉快|
have a green thumb		v.|擅长园艺|
have a headache		v.|头痛|
have a look		v.|看一看|
have a match		v.|比赛|
have a meeting		v.|开会|
have a party		v.|聚会|
have a picnic		v.|野餐|
have a rest		v.|休息|
have a talk		v.|谈话|
have a try		v.|试一试|
have a word with		v.|与……谈话|
have access to		v.|有权使用|
have an axe to grind		v.|别有用心|
have an effect on		v.|对……有影响|
have an eye for		v.|有……眼光|
have an idea		v.|有主意|
have an interest in		v.|对……有兴趣|
have breakfast		v.|吃早饭|
have difficulty in		v.|在……有困难|
have faith in		v.|信任|
have fun		v.|玩得开心|
have in mind		v.|想到|
have influence on		v.|对……有影响|
have lunch		v.|吃午饭|
have no choice but		v.|别无选择只能|
have nothing on		v.|对……没有证据|
have nothing to do with		v.|与……无关|
have one's hands full		v.|忙得不可开交|
have pity on		v.|怜悯|
have power over		v.|控制|
have sth done		v.|让某事被做|
have sth on		v.|穿着|
have supper		v.|吃晚饭|
have the advantage of		v.|占优势|
have the courage to		v.|有勇气做|
have the right to		v.|有权|
have to		v.|必须|
have to do with		v.|与……有关|
havel		n.|哈弗尔河(位于德国东北部)|
haven	/5heIvn; hevEn/	n.|安全的地方；憩息处；避难所|
haver	/5heIvE; hevL/	v.|犹豫；迟疑|
havoc	/5hAvEk; hAvEk/	n.|大范围的）破坏；巨大的）毁坏|
havre		|'=Le Havre|
haw	/hR:; hR/	n.|山楂果|
hawk	/hR:k; hRk/	n.|鹰；隼|
hawse		n.|锚链孔|
hay	/heI; he/	n.|用作饲料的）乾草|
haydn		n.|海顿(奥地利作曲家,1732－1809)|
hayes		|美国著名的通讯器材生产商,贺氏公司|
hayti		n.|[国名](=Haiti)海地(位于拉丁美洲)|
hazard		n.|危险|
haze	/heIz; hez/	n.|薄雾；霾；用法见|
hazel	/5heIzl; hezl/	n.|榛树（灌木；结小的坚果；可食）；见附录；插图|
hazy	/5heIzI; hezI/	adj.|有薄雾的|
hb	/9eItF 5bi:; 9etF bi/	abbr.|指铅笔芯）硬黑（即硬度适中）|
hbms		|His(或Her)Britannic Majesty's Ship 英国皇家海军舰艇|
hcg		|human chorionic gonadotrop(h)in 人体绒(毛)膜促性腺激素|
hcj		|High Court of Justice|
hcl		|high cost of living高生活费|
hcs		|human chorionic somatomammotrophin[生化]人绒毛膜生长促乳素|
hdcd		|High Definition Compact Disc,高解析度光盘|
hdd		n.|[计] (=hard disk drive)硬盘驱动器|
hdf		|Hierarchical Data Format,层次型数据格式|
hdl		|high density lipoprotein[生化]高密度脂蛋白|
he	/hi:; hi/	pron.|他|
he'd	/hi:d; hid/	|见词条使用详细说明；缩约式|
he'll	/hi:l; hil/	|缩约式|
he's	/hi:z; hiz/	|见词条使用详细说明；缩约式|
head	/hed; hZd/	n.|头；头部|
head for		v.|前往|
head over heels		adv.|完全地|
headache		n.|头痛|
headline		n.|头条|
headquarters		n.|总部|
heads		adj.|正面朝上的|
heady	/5hedI; hZdI/	adj.|指酒精饮料）易使人醉的；烈性的|
heah		adv.|<口>=here 多用于黑人英语|
heal	/hi:l; hil/	v.|治愈；愈合|
health	/helW; hZlW/	n.|人的身体或精神状况；健康状况|
healthy		adj.|健康的|
heap	/hi:p; hip/	v.|堆积；n.|堆|
heaps		adv.|很|
hear	/hIE(r); hIr/	v.|听见（声音）|
hear from		v.|收到……的来信|
hear of		v.|听说|
heard		vbl.|hear的过去式和过去分词|
heart	/hB:t; hBrt/	n.|心；心脏|
heart and soul		adv.|全心全意|
heart in one's mouth		n.|心提到嗓子眼|
heat	/hi:t; hit/	n.|高温；热|
heath	/hi:W; hiW/	n.|荒地（尤指灌木丛生之处）；荒野|
heave	/hi:v; hiv/	v.|亦作；尤作航海用语|
heaven		n.|天堂|
heavily		adv.|沉重地|
heavy	/5hevI; hZvI/	adj.|重的；难以抬起、 举起或移动的|
heavy heart		n.|沉重的心情|
hebe		n.|[希神]赫柏(青春女神,赫拉和宙斯之女,为奥林匹斯山诸神的侍女)|
hebei		|河北(省)(旧译Hopei或Hopeh)|
heck	/hek; hZk/	n.|婉；用以表示轻度的懊恼或惊讶；或用以加强语气|
hecla		|'=Hekla|
hectare		n.|公顷|
hedda		n.|海达(f.)|
hedge	/hedV; hZdV/	n.|树篱|
hedgy		adj.|多灌木树篱的|
hedy		n.|赫蒂(f.)|
heed	/hi:d; hid/	v.|注意或听从（劝告等）；留心（某事物）|
heel	/hi:l; hil/	n.|足跟；见；插图；袜子等的）踵部；後跟；鞋、 靴的）後跟|
heeze		vt.|<英方>使升高 举起|
hefa		|Higher Education Facilities Act 高等教育设施法|
hefei		|合肥[安徽省](旧译Hofei)|
heft		n.|重量|
hefty	/5heftI; hZftI/	adj.|指人）身高体壮的|
heiau		n.|(夏威夷的)古神殿|
heidi		n.|海蒂(Adalheid的昵称)(f.)|
heigh		int.|(唤起注意,表示惊讶)嗨!|
height		n.|高度|
heil		int.|嗨(表示欢迎或欢呼)|
hein		|<法>|
heir	/eE(r); Zr/	n.|继承人|
heist	/haIst; haIst/	n.|俚；抢劫；盗窃|
heize		v.|升起|
hejaz		|汉志[沙特阿拉伯省名]|
hekla		|赫克拉火山[冰岛南部]|
hel		n.|[北欧神话]司死亡及冥府的女神|
hela		n.|'=Hel  cell(保持在组织培养中的) 海拉细胞|
held		vbl.|hold的过去式和过去分词|
helen		n.|海伦|
helga		n.|海尔格(f.)|
helicopter		n.|直升机|
helio		n.|(=heliogram,=heliograph)|
helix	/5hi:lIks; hilIks/	n.|螺旋；有些生物分子呈螺旋状|
hell	/hel; hZl/	n.|不与；或；连用；地狱|
helle		|[希神]赫勒(希腊公主)|
hello		int.|喂|
helm	/helm; hZlm/	n.|舵柄；舵轮|
helmet		n.|头盔|
helot		n.|古斯巴达奴隶|
help	/help; hZlp/	v.|帮助；有助于|
helve	/helv; hZlv/	n.|武器或工具的）柄（尤指斧柄）|
hem	/hem; hZm/	n.|布的）摺边；卷边；滚边|
hemal		adj.|[医]血液的|
heme		n.|[生化]亚铁血红素|
hemic		adj.|血的|
hemin		n.|[生化]血晶质|
hemisphere		n.|半球|
hemp	/hemp; hZmp/	n.|大麻|
hempy		adj.|<苏>爱恶作剧的|
hen	/hen; hZn/	n.|母鸡；见附录；插图|
henan		|河南(位于中国中部、黄河下游)|
hence	/hens; hZns/	adv.|从此时起|
henna	/5henE; hZnE/	n.|散沫花染剂（一种棕红色的染料；尤用以染发）|
henny		adj.|(公鸡)羽毛似母鸡的|
henry		n.|亨利(男子名)|
hent		n.|企图|
heos		|highly eccentric orbit satellite 高偏心轨道卫星|
hep		adj.|消息很灵通的|
hepta		n.|七|
her	/h\:(r); h/	pron.|见词条使用详细说明；人称代词；用作动词或介词的宾语；亦可单用及置於；之後；她；指雌性动物时用）它|
hera		n.|宙斯神的妻(赫拉) [军] High Explosive Rocket Assisted|
herb	/h\:b; ?@ \:rb; [b/	n.|草本植物；药草；芳草（叶或种子等可制成药和香料；或用作调味品）|
herby		adj.|长草的|
herd	/h\:d; h[d/	n.|兽群；牧群；尤指）牛群|
here	/hIE(r); hIr/	adv.|在这里|
here and there		adv.|到处|
heres		n.|继承者|
heritage		n.|遗产|
herl		n.|作钓饵用的假蝇|
herm		n.|赫姆(Herman的异体)(m.)|
herma		n.|赫尔密斯方形石柱|
hern		n.|(=heron)[鸟]苍鹭|
hero	/5hIErEU; hIro/	n.|英雄；豪杰|
heroa		n.|英雄祠|
heroic		adj.|英勇的|
heroine		n.|女英雄|
heron	/5herEn; hZrEn/	n.|鹭；见附录；插图|
herr	/heE(r); hZr/	n.|先生（德语词；相当於英语的|
herry		v.|<苏格兰>=harry|
hers	/h\:z; h[z/	pron.|她的|
herts		|'=Hertfordshire|
hertz	/h\:ts; h[ts/	n.|不变；赫（兹）（频率单位；等於每秒一周）|
hesitate		v.|犹豫|
hesitation		n.|犹豫|
hesse		|'=Hessen|
hest		n.|<古>命令|
het	/het; hZt/	adj.|指人）烦躁的；激动的|
heth		n.|希伯来文第八个字母|
hetty		n.|Henrietta 的昵称|
hevea		n.|[植]三叶胶(一种橡胶树,产于南美洲)|
hew	/hju:; hju/	v.|用斧、 刀剑等）砍；劈（某物[某人]）|
hewer		n.|砍伐者；尤指）采煤工人|
hewn		vbl.|hew的过去分词|
hex		n.|十六进制|
hexad		n.|六个一组|
hexyl		adj.|[化]己基的|
hey	/heI; he/	|用以唤起注意或表示惊讶或疑问|
hf	/9eItF 5ef; 9etF Zf/	abbr.|无；参看|
hfs		|Hierarchial File System,分层文件系统|
hg		abbr.|阁下；大人；夫人（用於他称）|
hgh		|human growth hormone|
hgv	/9eItF dVi: 5vi:; 9etF dVi vi/	abbr.|大型载货机动车（如卡车、 公共汽车等）|
hh		abbr.|殿下（用於他称）|
hhd		|<拉>Humanitatum Doctor 古典文学博士(=Doctor of Humanities)|
hhfa		|Housing and Home Finance Agency (美国)住宅资产经理处|
hhs		|(Department of)Health and Human Services(美国)卫生和福利部|
hi	/haI; haI/	|喂|
hi-fi	/5haIfaI; 9haIfaI/	adj.|高保真度的唱片、 录音带、 收音机|
hia		|Horological Institute of America 美国钟学会|
hiaa		|Health Insurance Association of America 美国健康保险协会|
hic		int.|(喝醉时的打嗝声)嗝|
hick	/hIk; hIk/	n.|乡巴佬；土包子|
hid		|hide的过去式和过去分词;Home information Display,家庭信息显示器|
hide	/haId; haId/	v.|隐藏（某事物[某人；自己]）；隐蔽|
hidey		int.|<澳><美>[表示问候]喂|
hidy		int.|&|
hie	/haI; haI/	v.|或谑；快走|
hierarchy		n.|等级制度|
hif		|Health Information Foundation 保健情报基金会|
hifi		n.|高保真(high fidelity)|
higgs		|meson[物](假设的)希格斯介子|
high	/haI; haI/	adj.|高的；adv.|高|
high and low		adv.|到处|
high five		n.|击掌|
high time		n.|正是时候|
highland		n.|高地|
highlight		v.|突出|
hight		adj.|被称为|
highway		n.|公路|
hih		|His(或Her)Imperial Highness 殿下(间接提及时用)|
hii		|Health Insurance Institute 健康保险学会|
hijack		v.|劫持|
hijaz		n.|'=Hejaz|
hike	/haIk; haIk/	n.|远足；徒步旅行（尤指在乡间进行者）|
hiker		n.|远足者；徒步旅行者|
hila		n.|[植]种脐|
hilac		|heavy ion linear accelerator [核]重离子直线加速器|
hilar		adj.|[解]门的|
hilch		n.|<苏>跛行|
hili		|hilus 的复数|
hill	/hIl; hIl/	n.|山冈；小山|
hilly	/5hIlI; hIlI/	adj.|多小山的；多斜坡的|
hilo		n.|小矿脉|
hilt	/hIlt; hIlt/	n.|刀剑、 匕首等的）柄；见；插图|
hilum		n.|核|
hilus		n.|[解]门|
him	/hIm; hIm/	pron.|人称代词；用作动词或介词的宾语；亦可单独使用或用於；之後；他；它（用以指雄性动物）|
himem		n.|[计]扩充内存管理程序|
hin		n.|赫因(古代希伯来人的液量单位,约相当于1又1/2加仑)|
hind	/haInd; haInd/	adj.|指成对的事物）後面的；在後的|
hinder		v.|阻碍|
hindi	/5hIndi:; hIndi/	adj.|印地语（印度官方语言之一；主要通行印度北部）；印地语的|
hindu	/9hIn5du:; ?@ 5hIndu:; hIndu/	n.|印度人；尤指印度北部的）印度斯坦人（信奉印度教）|
hinge	/hIndV; hIndV/	n.|铰链；合叶|
hinny		n.|公马和母驴所生的骡子|
hint	/hInt; hInt/	n.|暗示；示意；间接的提示|
hip	/hIp; hIp/	n.|臀部；髋部|
hipe		v.|抱起对方的大腿把他摔倒|
hippo		n.|河马|
hippy		n.|嬉皮士|
hire	/5haIE(r); haIr/	v.|租用（某物）；雇用（某人）|
hirer		n.|租借者|
hiron		n.|[建]工字梁|
his	/hIz; hIz/	det.|见词条使用详细说明；他的；它的（用於雄性动物）|
hiss	/hIs; hIs/	v.|发出；嘶；声|
hist		int.|(唤人注意,禁止作声等场合用的字)嘘!|
historic		adj.|历史性的|
historical		adj.|历史的|
history	/5hIstrI; hIstrI/	n.|历史学|
hit	/hIt; hIt/	v.|打；撞击；n.|热门|
hit below the belt		v.|暗箭伤人|
hit the nail on the head		v.|一针见血|
hit the road		v.|出发|
hitch	/hItF; hItF/	v.|免费）搭乘他人之车；搭便车|
hiv	/9eItF aI 5vi:; etF9aIvi/	abbr.|人体免疫缺损病毒（艾滋病病毒）|
hive	/haIv; haIv/	n.|蜂箱；蜂房；见；插图；蜂房内的蜂群|
hiver		n.|养蜂人|
hives	/haIvz; haIvz/	n.|荨麻疹|
hiya	/5haIjE; haIjE/	|用作招呼语|
hizen		adj.|(以装饰华丽、 色彩雅致、 工艺精美著称的日本) 肥前陶器的|
hj		|<拉>hic jacet|
hjs		|<拉>hic jacet sepultus这里埋葬着(=here lies buried)|
hl		|hill 丘 House of Lords 上院|
hlbb		|Home Loan Bank Board(美国)住房贷款银行委员会|
hlf		|Heart and Lung Foundation心肺基金会|
hls		|HLS色彩模型(Hue 色度,Lightness 亮度,Saturation 饱和度)|
hm		abbr.|陛下（用於他称）|
hma		n.|High Memory Area|
hmas		|Her(或His)Majesty's Australian Ship澳大利亚皇家海军舰艇|
hmbs		|Her(或His)Majesty's British Ship英国皇家海军舰艇|
hmcs		|Her(或His)Majesty's Canadian Ship加拿大皇家海军舰艇|
hmd		|hyaline membrane disease|
hmf		|Her(或His)Majesty's Forces英国军队|
hmg		abbr.|女王[国王]陛下政府|
hmi	/9eItF em 5aI; 9etF Zm aI/	abbr.|皇家督学|
hmis		|'=HMI|
hmnzs		|Her Majesty's New Zealand Ship新西兰皇家海军舰艇|
hms	/9eItF em 5es; 9etF Zm Zs/	abbr.|仅用於战舰）皇家海军舰艇|
hmso	/9eItF em es 5EU; 9etF Zm Zs o/	abbr.|皇家书局|
hmv		|His Master's Voice(英国)""主人之声""牌唱片|
hnc	/9eItF en 5si:; 9etF Zn si/	abbr.|国家高级合格证书|
hnd	/9eItF en 5di:; 9etF Zn di/	abbr.|国家高等技术教育毕业凭|
hnrna		|heteronuclear RNA|
hns		|Holy Name Society圣名会|
ho	/hEU; ho/	|用以表示惊奇、 嘲笑、 赞美、 欢愉等|
hoar	/hR:(r); hRr/	adj.|旧|
hoard	/hR:d; hRrd/	n.|钱财、 食物或其他珍贵物品的）储藏；积存|
hoary	/5hR:rI; hRrI/	adj.|尤指毛发）因年老而变灰或变白的|
hoax	/hEUks; hoks/	n.|恶作剧；戏弄|
hob	/hCb; hBb/	n.|炉盘（炉具上部供放置锅、 等以加热的平面）；尤指旧时）（壁炉侧面供锅、 等加温用的）平面金属架|
hobby	/5hCbI; hBbI/	n.|业余）爱好；嗜好|
hobo	/5hEUbEU; hobo/	n.|流动的失业工人；无业游民；流浪者；漂泊者|
hock	/hCk; hBk/	n.|跗关节；见；插图|
hocky		n.|'=hockey|
hocus		vt.|欺骗|
hod	/hCd; hBd/	n.|建筑工人挑砖等用的连在扁担上的）轻便无盖挂斗|
hodge		n.|<英>典型的英国农业工人|
hoe	/hEU; ho/	n.|耘锄|
hoer		n.|锄地者|
hofei		|见Hefei|
hofuf		|胡富夫[沙特阿拉伯东北部城市]|
hog	/hCg; ?@ hR:g; hR^/	n.|猪（供食用的；尤指阉过的公猪）；参看|
hogan		n.|泥盖木屋|
hogg		n.|<英方>尚未剪过毛的(一岁)小羊|
hogly		adj.|'=hoggish|
hohum		adj.|令人生厌的|
hoick	/hRIk; hRIk/	v.|提起或拉动（某物）（尤指猛然地）|
hoik		v.|急剧上升|
hoise		vt.|'=hoist|
hoist	/hRIst; hRIst/	v.|用绳索、 专门器械等）提升（某物）|
hokey		adj.|虚情假意的|
hokum	/5hEUkEm; hokEm/	n.|乏味或粗劣的戏剧作品|
hol		n.|<英口>假日|
holc		|Home Owners'Loan Corporation(美国)房主贷款公司|
hold	/hEUld; hold/	v.|握住；举行；容纳|
hold back		v.|阻止；隐瞒|
hold office		v.|任职|
hold on		v.|稍等；坚持|
hold one's breath		v.|屏住呼吸|
hold one's head high		v.|昂首挺胸|
hold out		v.|伸出；坚持|
hold the line		v.|别挂断|
hold together		v.|团结|
hold up		v.|举起；耽搁|
hold your horses		v.|别着急|
holds		v.|保存|
hole	/hEUl; hol/	n.|洞；孔；坑；洞穴|
holey		adj.|有穴的|
holi		n.|(印度的)胡里节|
holiday	/5hClEdeI; hBlE9de/	n.|假日；节日|
holla		n.|喂之叫声|
hollow		adj.|空心的|
holly	/5hClI; hBlI/	n.|冬青（常绿灌木；叶尖而硬；有光泽；冬季结红色浆果）；用作圣诞节饰物的）冬青树枝|
holm		n.|<主英>河边肥沃的低地|
holme		n.|'=holm&|
holon		n.|[哲]子整体|
holp		vbl.|<废>help的过去式|
hols	/hClz; hBlz/	|假期|
holt		n.|<古>小林|
holy	/5hEUlI; holI/	adj.|与神或宗教有关的；神的；上帝的|
homa		n.|'=hom|
home	/hEUm; hom/	n.|家|
homeland		n.|祖国|
homer		n.|本垒打|
homework		n.|学生的）家庭作业；课外作业|
homey		adj.|家庭似的|
homie		n.|'=homey|
homme		|<法>|
homo		|构词成分；同；相同|
homy	/5hEUmI; homI/	adj.|像家一样的；舒适惬意的|
hon		abbr.|义务秘书；义务司库|
honan		|见Henan|
honda		|本田汽车|
hondo		|'=Honshu|
hone	/hEUn; hon/	n.|磨工具等的刀用的）磨石|
honest		adj.|诚实的|
honesty		n.|诚实|
honey	/5hQnI; hQnI/	n.|蜂蜜；蜜色|
hong		n.|<汉>(中国,日本等的)商行|
hongi		n.|毛利族人的以鼻相触的见面礼|
honk	/hCNk; hRNk/	n.|雁叫声|
honky		n.|<美俚>[贬]白人|
honor		n.|尊敬|
honorable		adj.|光荣的|
hons	/Cnz; Bnz/	abbr.|学士学位的|
hoo		int.|呼!(表示激动,高兴,轻蔑,赞同等)|
hooch	/hu:tF; hutF/	n.|尤指便宜的或非法酿造的）酒|
hood	/hUd; hJd/	n.|风帽；兜帽（通常连在外衣等上；蒙住头部及颈部；不用时可垂在背後或取下）；学位服垂布（用有色丝绸、 毛皮…|
hooey	/5hu:I; huI/	n.|俚；瞎话；废话；胡说八道|
hoof	/hu:f; huf/	n.|马、 牛、 或鹿的）蹄；见；插图|
hook	/hUk; hJk/	n.|钩子；吊钩；挂钩|
hooky		n.|逃学者|
hooly		adj.|谨慎的|
hoop	/hu:p; hup/	n.|木头、 金属等做的）箍；圈；环|
hoosh		n.|到北极地方旅行所煮的杂锅菜|
hoot	/hu:t; hut/	n.|猫头鹰的叫声|
hoots		int.|(=pshaw)咄|
hoove		n.|家畜的臌胀症|
hop	/hCp; hBp/	v.|指人）单足跳跃；单足跳行|
hope	/hEUp; hop/	v.|希望；期望|
hopei		|见Hebei|
hopes		n.|希望|
hopi		n.|霍皮人(美国亚利桑那州东南部印第安村庄居民)|
hora		n.|传统式圆舞|
horae		n.|[希神][罗神]霍莉(司四季,时表,正义和秩序的女神)|
horah		n.|'=hora|
horal		adj.|每一小时的|
horde	/hR:d; hRrd/	n.|有时作义；大群；大帮（尤指人）；人群|
horeb		n.|(基督教<<圣经>>中所说的)何烈山(即西奈山)|
horizon		n.|地平线|
horizontal		adj.|水平的|
horme		n.|有目的之行动|
hormone		n.|激素|
horn	/hR:n; hRrn/	n.|牛、 鹿、 羊等动物的）角；见；插图；角质|
horny		adj.|角制的|
horra		n.|'=hora|
horrible		adj.|可怕的|
horror		n.|恐怖|
hors		prep.|不必|
horse	/hR:s; hRrs/	n.|马；见插图；参看；未阉过的）成年公马；骑马的军人；骑兵|
horst		n.|地垒|
horsy	/5hR:sI; hRrsI/	adj.|马的；似马的|
horus		n.|何露斯(古代埃及的太阳神)|
hose	/hEUz; hoz/	n.|软管（橡皮、 塑料或帆布制成；用以输水救火、 浇花等）|
