k	/keI; ke/	abbr.|一千（源自希腊|
keep on doing		v.|继续做|
keep one's balance		v.|保持平衡|
keep one's fingers crossed		v.|祈祷好运|
keep one's head		v.|保持冷静|
keep one's promise		v.|遵守诺言|
keep one's word		v.|守信用|
keep out		v.|使不进入|
keep pace with		v.|跟上|
keep silence		v.|保持沉默|
keep sth in mind		v.|记住|
keep still		v.|保持不动|
keep the balance of		v.|保持……平衡|
keep up		v.|保持；跟上|
keep up with		v.|跟上|
keep watch		v.|放哨|
keep your chin up		v.|振作起来|
keet		n.|[动] 珍珠鸡|
keeve		n.|(尤指酿酒,漂白用的)大桶|
kef		n.|麻醉剂|
kefir		|<俄>|
keg	/keg; kZ^/	n.|小桶（通常容量不足；英加仑或；美加仑）；见；插图|
keir		n.|(kier之变体)漂染缸|
kelep		n.|[动] 肉食蚁(产于中美洲)|
kelly		n.|黄绿色|
kelp	/kelp; kZlp/	n.|大型褐藻|
kelpy		n.|马形水鬼(苏格兰民间传说中能诱人自溺或预告人们将溺死)|
kelt		n.|(=celt)凯尔特人|
kemb		n.|梳|
kemp		n.|冠军|
kempt		|整洁的,梳理好的|
ken	/ken; kZn/	n.|习语；超出某人知识范围|
kenaf		n.|[植] 洋麻|
kench		|<日>|
kendo		n.|<日> 剑道|
kenny		n.|[姓氏] 肯尼|
keno		n.|一种赌博|
kent		n.|英国东南部州名 v ken 的过去式和过去分词|
kenya		n.|肯尼亚|
keogh		|plan 基奥计划(指自由职业者为退休而存款)|
keos		n.|(=kea)[动]食肉鹦鹉(产于新西兰)|
kep		n.|<废>篮子|
kepi	/5keIpI; kepI/	n.|法国军帽|
kept		vbl.|keep的过去式和过去分词|
kerb	/k\:b; k[b/	n.|镶石的）路缘；路边|
kerbs		n.|[姓氏] 克雷布斯|
kerf		n.|锯痕|
kern		|[计] 紧排|
kerne		n.|[爱尔兰] 轻装步兵|
kero		n.|<澳新口> =kerosene|
kerr		n.|[姓氏] 克尔|
kerry		n.|(英国产)黑色的小乳牛|
ketch	/ketF; kZtF/	n.|双桅小帆船|
keten		n.|'=ketene|
keto		adj.|[化] 酮类的|
ketol		n.|[化] 酮醇|
kettle		n.|水壶|
kev		|kiloelectron volt  [单复同]|
kevel		n.|[船]盘绳栓|
kevin		n.|凯文|
key	/ki:; ki/	n.|钥匙|
keyboard		n.|键盘|
keyed		v.|键入|
keyer		n.|电键器|
keyes		n.|[姓氏] 凯斯|
kg	/9keI 5dVi:; 9ke dVi/	abbr.|嘉德勋爵士；英格兰最高爵级勋章|
kgb	/9keI dVi 5bi:; 9ke dVi bi/	abbr.|克格勃（建於；年；前苏联国家安全委员会的略称）|
kgps		|kilograms per second 千克[秒,公斤]秒|
kgr		|kilograin(s)|
khadi		n.|(=khaddar)印度土布|
khaf		n.|希伯莱语第十一个字母(kaf)的变体|
khaki	/5kB:kI; kBkI/	n.|土黄色（的）；卡其布（的）（尤指用做军服的）|
khan		n.|可汗(蒙古等族最高统治者的称号)|
khaph		n.|(=khaf)希伯来语第十一个字母(kaf)的变体|
kharg		|哈格岛[伊朗西南部](或译哈尔克岛)|
khark		|'=Kharg|
khat		|(=kat)|
kheda		n.|(=keddah) 捕象陷阱|
khet		n.|(=het)希伯莱文的第八个字母|
kheth		n.|(=het)希伯莱文的第八个字母|
khfos		|<希> =Chios|
khi		n.|希腊文字母的第22 个字|
khmer		n.|高棉人(居住在柬埔寨,中世纪曾有高度文明)|
khond		n.|孔德人(印度中东部)|
khud		n.|(东印度的)悬崖|
khz		abbr.|参看|
kia		|(=killed in action)阵亡,战死|
kiang		n.|[动] 西藏野驴|
kibe		n.|冻疮|
kibed		adj.|患冻疮的|
kibei		n.|<日>移居美国的第二代日本人移民|
kick	/kIk; kIk/	v.|踢|
kid	/kId; kId/	n.|小孩；年轻人|
kidd		n.|[姓氏] 基德|
kiddo		n.|老兄|
kiddy		n.|小孩儿|
kidnap		v.|绑架|
kidney		n.|肾|
kief		n.|(=keef)吸毒后的迷糊状态|
kiel		|基尔[德意志联邦共和国北部港市]|
kier		n.|煮布锅(漂白,染色用)|
kiev		|基辅[乌克兰共和国首都]|
kif		n.|(=kef) 吸毒后的迷糊状态|
kifi		n.|'=kef|
kike		n.|犹太人|
kikoi		n.|基科伊色边条子厚棉布|
kil		n.|(=kilometre)千米|
kilim		n.|基里姆地毯|
kill	/kIl; kIl/	v.|杀死；消磨（时间）|
kill two birds with one stone		v.|一石二鸟|
kiln	/kIln; kIln/	n.|窑|
kilo	/5ki:lEU; kilo/	|构词成分；千|
kilogram		n.|千克|
kilometer		n.|千米|
kilt	/kIlt; kIlt/	n.|苏格兰男子穿的）短褶裙（羊毛织成长及膝盖；为苏格兰民族服装的一部分）；见；插图；妇女或儿童穿的类似上述…|
kin	/kIn; kIn/	n.|旧或；家人和亲戚|
kind	/kaInd; kaInd/	adj.|亲切的；和蔼的；友好的；仁慈的；慈爱的|
kinda		adv.|有一点|
kindness		n.|善良|
kindy		n.|<澳新口>幼儿园|
kine		n.|<古>雌牛|
king	/kIN; kIN/	n.|君主；国王；国王的称号|
kingdom		n.|王国|
kink	/kINk; kINk/	n.|扭结（如铁丝、 绳索、 管子、 毛发等）|
kinky		adj.|变态的；不正常的（尤指性行为）|
kino		n.|[植]吉纳紫檀(产于北非、印度和锡兰等地)|
kioga		n.|吉奥格湖(位于非洲乌干达)|
kiosk	/5ki:Csk; kIBsk/	n.|出售报纸、 饮料等的）小摊棚；售货亭|
kioto		|'=Kyoto|
kiowa		n.|基奥瓦人[语]|
kip	/kIp; kIp/	n.|作可数名词时通常作；亦作不可数名词；俚；睡觉|
kiri		n.|(日本)泡桐树|
kirin		|见 jilin ;<日>|
kirk	/k\:k; k[k/	n.|苏格兰；教堂|
kirn		n.|(庆祝收割完成的)收获节|
kirov		|基洛夫[苏联东欧平原东北部城市](旧称维亚特卡|
kisan		n.|印度农夫|
kishm		|'=Qeshm|
kiska		n.|吉斯卡岛(阿拉斯加一岛屿)|
kiss	/kIs; kIs/	v.|吻（某人[某物]）|
kist		n.|(=cist)史前之石柜|
kit	/kIt; kIt/	n.|士兵等或旅行者的）衣物和装备|
kitchen	/5kItFIn; kItFIn/	n.|厨房|
kite	/kaIt; kaIt/	n.|风筝|
kith	/kIW; kIW/	n.|习语；亲友|
kithe		v.|以行动[语言]表示|
kitty	/5kItI; kItI/	n.|某些牌戏中的）全部赌注|
kitwe		|基特韦[赞比亚中北部城市]|
kiva		n.|大地穴(美国西部和墨西哥等地印第安人用作会堂的一种建筑)|
kiwi	/5ki:wi:; kiwI/	n.|几维（产於新西兰的鸟；喙长、 翼短、 无尾、 不能飞）|
kjv		|King James Version|
kk		|Phonetic English System KK音标|
kkk	/9keI keI 5keI; 9ke ke ke/	abbr.|三；党|
kktp		|king's knight's pawn (国际象棋中的)王翼马前兵|
klan		n.|(=Ku Klux Klan)三K党|
kleig		n.|'=klieg|
klick		n.|<俚>公里(东南亚国家用语)|
klieg		n.|'=klieg light|
klik		n.|'=klick|
klm		|Koninklijke Luchtvaart Maatschappij 荷兰航空公司|
klong		n.|(泰国的)运河|
kloof		n.|(南非的)峡谷|
kluck		n.|(=cluck)喀喀声|
klunk		n.|<美俚>=clunk|
klutz		n.|<美俚> 笨手笨脚的人|
km		abbr.|或不变或作|
kmps		|kilometres per second 千米/秒,公里/秒|
kmt		|Kuo Min Tang,中国国民党|
kn		abbr.|海|
knack	/nAk; nAk/	n.|技巧；诀窍|
knag		n.|木节|
knap		vt.|敲击|
knar		n.|瘤|
knarl		v.|(=gnarl)咆啸|
knave	/neIv; nev/	n.|红桃杰克|
knead	/ni:d; nid/	v.|揉；捏（面团、 湿黏土等）|
knee	/ni:; ni/	n.|膝；膝盖；见；插图；人坐著时）大腿的朝上的面|
kneed		adj.|有膝一般的关节的|
kneel		vi.|跪下|
knell	/nel; nZl/	n.|通常作|
knelt		vbl.|kneel的过去式和过去分词|
knew		vbl.|know的过去式|
knife	/naIf; naIf/	n.|刀|
knight		n.|骑士|
knish		n.|以肉、乳酪、水果为馅的炸饼|
knit	/nIt; nIt/	v.|用於下述第三义时通常作|
knob	/nCb; nBb/	n.|门、 抽屉等的）圆形拉手；收音机、 电视机等的）旋钮|
knock	/nCk; nBk/	v.|敲；n.|敲门声|
knock at		v.|敲（门）|
knock at the door		v.|敲门|
knock down		v.|撞倒|
knock into		v.|撞上|
knock on wood		v.|但愿好运|
knock out		v.|击倒；淘汰|
knock over		v.|撞倒|
knoll	/nEUl; nol/	n.|小圆丘；小土墩|
knop		n.|球形手把|
knot	/nCt; nBt/	v.|打结；n.|结|
knout		n.|皮鞭(旧时俄国的一种刑具)|
know	/nEU; no/	v.|知道；认识；了解|
know about		v.|了解|
know of		v.|听说过|
know the ropes		v.|懂行|
know the truth		v.|知道真相|
knowledge	/5nClIdV; nBlIdV/	n.|了解；理解|
known		adj.|知名的|
knp		|king's knights pawn (国际象棋中)王翼马前兵|
knub		n.|肿瘤|
knur		n.|(木头的)结节|
knurl		n.|硬节|
knurr		n.|(=knur)(树木的)节疤|
knut		n.|(=Canute) 花花公子|
ko	/9keI 5EU; 9ke o/	abbr.|击倒（尤为拳击用语）|
koa		n.|洋槐的一种|
koala	/kEU5B:lE; koBlE/	n.|树袋熊（产於澳洲的树栖哺乳动物；毛密、 色灰、 耳大、 无尾）|
koan		n.|[佛教]心印|
kob		n.|[动] 非洲水羚|
koban		n.|(日本的)警察派出所[日文汉字:交番]|
kobe		|神户[日本本州岛西南岸港市]|
kobo	/5kCbEU; kobo/	n.|不变；考包（尼日利亚辅币名；考包；奈拉）|
kochi		|高知[日本四国岛中南岸港市]|
kodak		n.|美国柯达公司|
koei		n.|日本光荣公司|
koel		n.|[鸟]噪鹊(产于印度、澳洲、新几内亚的鸟类之一)|
kofta		n.|(印度)肉丸|
kofu		|甲府[日本本州岛中南部城市]|
kogai		|<日>|
kohl	/kEUl; kol/	n.|眼睑粉（东方妇女的化妆品）|
koine		n.|以阿提喀方言为主的希腊共通语|
kojah		n.|[动]亚种水貂|
kola		n.|可乐树(产于热带非洲,西印度群岛,巴西等地)|
kolo		n.|(塞尔维亚的)科洛舞|
komi		n.|科米人[语]|
kona		n.|'=kona storm|
konak		n.|(土耳其)大官邸|
kondo		n.|(乌干达的)窃贼|
kongo		n.|刚果人|
konig		n.|康尼格坑|
konk		n.|鼻子|
kook	/ku:k; kuk/	n.|俚；怪人；狂人|
kooky		adj.|怪人的|
koord		n.|(=Kurd)库尔德人(主要居住在伊拉克,伊朗,土尔其及叙利亚边界地区)|
kop		n.|(南非的)小山|
kopek		n.|苏联小铜板|
koph		n.|希伯莱语第十九个字母|
kopis		n.|双刃曲剑|
kopje		n.|(南非的)小丘|
koppa		n.|早期希腊字母之一相当于英文字母q|
kor		n.|侯尔(希伯来早期量具名)|
kora		n.|科拉琴(一种亚非的弦乐器,形似竖琴)[西非土著语]|
koran	/kE5rB:n; ?@ -5rAn; kErAn/	n.|兰经；可兰经；伊斯兰教经典）|
korea		n.|韩国|
kos		n.|科斯(印度的长度名) 科斯岛(希腊岛屿)|
koso		n.|[药]苦苏|
kotka		|科特卡[芬兰东南部港市]|
koto		n.|<日>十三弦古筝|
kotow		n.|<汉>磕头(头着地的大礼)|
kovno		|<俄>=Kaunas|
kovsh		n.|长柄船形酒杯|
koza		|<日>|
kpc		|kiloparsec(s)|
kph	/9keI pi: 5eItF; 9ke pi etF/	abbr.|千米；小时；公里；参看|
kraal	/krB:l; ?@ krR:l; krRl/	n.|用於南非|
krad		n.|'=kilorad|
kraft		n.|牛皮纸|
krain		n.|<德> 为Carniola之德文名称|
krait		n.|[动]金环蛇(产于南亚和东南亚的一种眼镜蛇科毒蛇)|
krans		n.|'=krantz|
kraut		n.|<俚><贬>德国人|
krebs		|cycle [生化]克雷布斯循环,三羧酸循环(指机体糖代谢的一系列生化反应)|
kreep		n.|克里普矿物(从月球中获得的一种有特殊化学成分的棕黄色玻璃状矿物)|
krete		|<希>=Crete|
krewe		n.|克鲁(在新奥尔良狂欢节最后一天主持庆祝活动的民间组织)|
krill	/krIl; krIl/	n.|鲸鱼吞食的）磷虾群|
krim		|<俄>=Crimea|
kris	/kri:s; kris/	n.|马来亚或印度尼西亚的）波形刃短剑|
kroll		n.|[姓氏] 克罗尔|
krona	/5krEUnE; kronE/	n.|克朗（瑞典的货币单位）|
krone	/5krEUnE; kronZ/	n.|克朗（丹麦和挪威的货币单位）|
kroo		n.|(利比里亚和象牙海岸沿案的)克鲁族|
kroon		n.|克鲁恩(1940年爱沙尼亚的货币单位)|
kru		n.|(=Kroo)克鲁人|
ks		|Kansas 美国堪萨斯州邮递区号 King's Scholar,英国皇家奖学金学生|
kt		abbr.|詹姆斯；贝利爵士|
kts		|(=knots per hour)节(海里/小时)|
kuban		n.|库班河(在前苏联北高加索)|
kudo		n.|奖赏|
kudos	/5kju:dCs; ?@ 5ku:-; kudBs/	n.|荣誉；光荣；赞誉|
kudu		n.|[动]捻(一种非洲大羚羊)|
kudzu		n.|[植]野葛|
kue		n.|英文字母q|
kufa		n.|芦苇兽皮船|
kufic		adj.|古阿拉伯字母表的|
kukri	/5kUkrI; kJkrI/	n.|廓尔喀人用的）弯刀|
kula		n.|库拉(美拉尼西亚群岛东南部特罗布里恩德岛民的交易制度)[土著语]|
kulak		n.|富农|
kulan		n.|[动]西亚野驴|
kulun		n.|库伦(蒙古共和国城市)|
kum		|'=Qum|
kumis	/5ku:mIs; kumIs/	n.|乳酒（中亚某些民族用马乳酿制的酒）|
kuoyu		n.|中国国语|
kura		n.|库那河|
kurd		n.|库尔德人(主要居住在伊拉克、伊朗、土耳其及叙利亚边界的地区)|
kure		|吴[日本本州岛西南岸港市]|
kursk		|库尔斯克[苏联中俄罗斯丘陵西南部城市]|
kurta		n.|(=khurta)(印度人穿的)无领长袖衬衫|
kuru		n.|[医] 苦鲁病|
kurus		n.|土耳其的货币单位|
kusch		n.|[姓氏] 库施|
kusso		n.|[植] 苦苏花|
kvar		|kilovar|
kvass	/kvAs; kvAs/	n.|克瓦斯淡啤酒（俄罗斯制）|
kvell		vi.|<美俚>吹牛 扬扬得意:|
kw		abbr.|功率；千瓦的电热器|
kwa		n.|克瓦语(西部非洲的一个语族)|
kwela	/5kweIlE; kwelE/	n.|南非的一种爵士乐|
kwh		|kilowatt hour [电]千瓦小时|
kwic		n.|[计]上下文关键字|
kwoc		n.|[计]上下文外关键字|
kyack		n.|(美国西部挂在驮鞍两侧的)驮袋|
kyak		n.|(=kayak)爱斯基摩独木舟|
kyang		n.|[动] 西藏野驴|
kyat		n.|元(缅甸货币名)|
kyd		n.|[姓氏] 基德|
kyle		n.|<苏>狭海峡|
kylie		n.|回飞棒的一种|
kylin		n.|[动] 麒麟(中国古代传说中的吉祥物,雄的称麒,雌的称麟)|
kylix		n.|基里克斯陶杯(古希腊的一种有双把手的浅酒杯)|
kyloe		n.|苏格兰高地产的长角种小牛|
kymri		n.|'=Kymry|
kymry		n.|'=Cymry|
kyoto		n.|京都(曾是日本古都)|
kyrie		n.|'=Kyrie eleison|
kyte		n.|<苏>肚皮|
kythe		v.|(=kithe)宣布|
kyudo		|<日>|
