i	/aI; aI/	pron.|人称代词；用作动词的主体；我（说话者或写作者称自己）|
icsh		|interstitial cell stimulating hormone|
icsu		|International Council of Scientific Unions 国际科学协会理事会|
ictal		adj.|[医]猝发(性)的|
ictus		n.|强音|
icu		|intensive care unit 重点护理组|
icw		|interrupted continuous waves [无]断续(等幅)波|
icy	/5aIsI; aIsI/	adj.|寒冷的；冰冷的|
id	/Id; Id/	n.|心；伊德；本我（指人的无意识的本能和冲动之源的那一部分精神）；参看|
ida		|International Development association,国际开发协会|
idaho		n.|爱达荷州(美国州名)|
idc		|智能磁盘控制器;Internet Data Center,互联网数据中心|
idd		n.|国际直拨长途电话|
iddd		|international direct distance dialing 国际直接长途拨号|
ide		n.|集成电路设备|
idea	/aI5dIE; aIdIE/	n.|构想；思想；主意|
ideal	/aI5dIEl; aIdIEl/	adj.|理想的；完美的；最合适的|
idem		pron.|<拉> 同上|
identical		adj.|完全相同的|
identify		v.|识别|
identity		n.|身份|
ideology		n.|意识形态|
ides		pl.|古罗马历中3月|
idg		|美国国际数据集团|
idiom	/5IdIEm; IdIEm/	n.|习语；成语；惯用语；如|
idiot	/5IdIEt; IdIEt/	n.|蠢人；笨蛋；傻瓜|
idle	/5aIdl; aIdl/	adj.|闲散的；不工作的或没有工作的|
idler		n.|懒惰者|
idli		|<泰米尔语>|
idly		adv.|懒惰地|
ido		n.|伊多语(世界语的变种)|
idol	/5aIdl; aIdl/	n.|神像（常为石雕、 木刻等供顶礼膜拜用）|
idola		n.|[逻]谬论|
idun		n.|(北欧神话)伊敦(青春女神 亦作Iduna,Ithunn,Ithun)|
idyl		n.|田园诗|
idyll	/5IdIl; ?@ 5aIdl; aIdl/	n.|描述欢愉恬静情景的短诗或短；尤指）田园诗|
ie	/9aI 5i:; 9aI i/	abbr.|亦即；也就是；换言之（源自拉丁|
iea		|International Education Association国际教育协会|
iec		|国际电工委员会|
iedb		|集成式工程数据库|
iee		|Institution of Electrical Engineers(英国)电机工程师协会|
ieee		|Institute of Electrical and Electronics Engineers,电子电气工程师协会|
ier		|乘数,乘数寄存器|
ietf		|Internet Engineering Task Force,Internet工程任务组|
if	/If; If/	conj.|如果；是否|
ifac		n.|国际农业生产联盟|
ifc		|International Finance Corporation,国际金融公司 International Finance Corporation,国际金融组织|
iffy		adj.|不确定的|
ifip		|International Federation for Information Processing 国际信息处理联合会|
ifni		|伊夫尼[摩洛哥西南部一地区]|
ifo		|identified flying object 已识别的飞行物|
ifpi		|International Federation of the Phonographic Industry,国际唱片工业联合会|
ifps		|交互式财务计划系统|
ifr		|Instrument Flight Rules[空]仪表飞行规则|
ig		|immunoglobulin|
igbo		n.|(=Ibo)伊博人[语]|
iges		|基本图形转换规范|
igfet		|isolated gate field effect transistor[无]隔离栅场效应晶体管|
igg		vt.|'=ig|
igloo	/5Iglu:; I^lu/	n.|爱斯基摩人用坚硬雪块砌成的临时栖身用的）拱形圆顶小屋|
iglu		n.|(爱斯基摩人的)圆顶的冰屋|
igmp		|Internet Group Management Protocol,Internet组管理协议|
ignorance		n.|无知|
ignorant		adj.|无知的|
ignore		v.|忽视|
igo		n.|'=go|
igy		|International Geophysical Year|
ihp		|indicated horsepower|
ihram		n.|伊斯兰教朝圣服|
ihs		n.|代表耶稣之符号|
iht		|International Herald Tribune<<国际先驱论坛报>>|
iii		num.|罗马数字 3|
iiian		adj.|(小亚细亚西北部古城)伊利昂的|
iiion		n.|伊利昂(小亚细亚西北部的古城特洛伊|
iiium		n.|伊利昂(小亚细亚西北部的古城特洛伊|
iil		|integrated injection logic|
iips		|交互式信息处理系统|
iis		|Internet Information Server,Internet信息服务器|
iise		n.|伊尔瑟(Elizabeth的昵称)(f.)|
ikan		n.|鱼(马来西亚用语,尤指经烹调的鱼)|
ikbal		|<土耳其语>|
ike		n.|艾克|
ikon		n.|圣像|
iktas		n.|<美口>物品|
ila		|International Longshoremen's Association国际码头工人联合会|
ile		suf.|[构成形容词和名词]表示""能|
ilea		|Inner London Education Authority(英国)内伦敦教育局|
ileac		|[医]肠阻塞的,[解]回肠的|
ileal		adj.|'=ileac|
ileum		n.|[解]回肠|
ileus		n.|[医]肠梗阻|
ilex	/5aIleks; aIlZks/	n.|植；冬青属；冬青属植物|
ilgwu		|International Ladies'Garment Workers'Union 国际妇女服装工人联合会|
ilia		|ilium的复数|
iliac		adj.|[解]髂骨的|
ilici		n.|为西班牙厄里奇市的古名|
ilium		n.|[解]髂骨|
ilk	/Ilk; Ilk/	n.|习语；谑；那一类[同一种；他、 她；那类|
ilka		adj.|每一个的|
ill	/Il; Il/	adv.|尤用以构成复合词|
illegal		adj.|非法的|
illness		n.|疾病|
illth		n.|贫乏|
illuminate		v.|照亮|
illusion		n.|幻觉|
illustrate		v.|说明|
illustration		n.|插图|
illy		adv.|不善地|
ilo	/9aI el 5EU; 9aI Zl o/	abbr.|国际劳工组织|
ilp		|Independent Labour Party (英国)独立工党|
image	/5ImIdV; ImIdV/	n.|像；肖像；偶像（尤指木、 石雕刻的）|
imaginary		adj.|想象的|
imagination		n.|想象力|
imaginative		adj.|富有想象力的|
imagine	/I5mAdVIn; ImAdVIn/	v.|想像；设想（某事物）|
imago		n.|意象|
imam	/I5mB:m; ImBm/	n.|伊玛目（清真寺内率领伊斯兰教徒作礼拜的人）|
imap		|Internet Message Access Protocol,Internet消息访问协议|
imari		n.|(日本)伊万里瓷器(包括上釉的白瓷、 青瓷和釉下绘有图案的青花瓷等)|
imaum		n.|'=imam|
imbed		v.|(=embed)埋藏|
imbue	/Im5bju:; Imbju/	v.|被动语态；使（某人[某事物]）充满或激起（感情等）|
imco		n.|国际海事协议组织|
imf	/9aI em 5ef; 9aI Zm Zf/	abbr.|国际货币基金组织|
imho		|In My Humble Opinion 恕我直言|
imid		n.|(=imide)[化] 醯亚氨|
imide		n.|[化]酰亚胺|
imido		adj.|[化]酰亚胺的|
imine		n.|[化]亚胺|
imino		adj.|[化](含)亚氨基的|
imitate		v.|模仿|
imitation		n.|模仿|
imm		|Institution of Mining and Metallurgy(英国)矿冶学会|
immediate		adj.|立即的|
immense		adj.|巨大的|
immie		n.|<美口>(游戏用的)彩色玻璃弹子|
immigrant		n.|移民|
immigration		n.|移民|
immit		v.|注入|
immix		v.|混合|
immune		adj.|免疫的|
immy		n.|'=immie|
imo		|In My Opinions,在我看来|
imp	/Imp; Imp/	n.|小魔鬼；小恶魔|
impact		n.|影响|
impair		v.|损害|
impar		adj.|[解]奇数的|
impatient		adj.|不耐烦的|
impel	/Im5pel; ImpZl/	v.|推动、 推进、 驱策或敦促某人做某事物|
impi		n.|南部非洲班图族的一队武士|
implement		v.|实施|
implementation		n.|实施|
implication		n.|含义|
imply	/Im5plaI; ImplaI/	v.|含有；的意思；暗示；暗指|
impo		n.|惩罚学生的工作|
import		v.|进口|
importance		n.|重要性|
important	/Im5pR:tnt; ImpRrtnt/	adj.|重要的；重大的；非常有价值的|
impose		v.|强加|
impot		n.|惩罚学生做的工作|
impress		v.|给……深刻印象|
impression		n.|印象|
impressive		adj.|令人印象深刻的|
imprison		v.|监禁|
improve	/Im5pru:v; Impruv/	v.|使某事物）改进；改善|
improvement		n.|改进|
impulse		n.|冲动|
imput		n.|'=input|
imroz		n.|<土>印布洛斯岛(在爱琴海东部属土耳其)|
imu		n.|<夏威夷语>(供烤肉或煮菜用的)浅炊坑|
in	/In; In/	prep.|在……里；adv.|进入|
in a hurry		adv.|匆忙|
in a minute		adv.|马上|
in a moment		adv.|马上|
in a nutshell		adv.|简而言之|
in a sense		adv.|从某种意义上|
in a way		adv.|在某种程度上|
in a word		adv.|总之|
in accordance with		prep.|按照|
in addition		adv.|此外|
in addition to		prep.|除……之外|
in addition to this		adv.|此外|
in advance		adv.|提前|
in agreement with		prep.|同意|
in all		adv.|总共|
in answer to		prep.|回答|
in any case		adv.|无论如何|
in any event		adv.|无论如何|
in appearance		adv.|外表上|
in bed		adv.|卧床|
in bloom		adv.|盛开|
in body and mind		adv.|身心|
in brief		adv.|简言之|
in business		adv.|经商|
in case		conj.|以防|
in case of		prep.|万一|
in charge		adv.|负责|
in charge of		prep.|负责|
in comfort		adv.|舒适地|
in common		adv.|共同|
in company with		prep.|与……一起|
in comparison with		prep.|与……相比|
in conclusion		adv.|总之|
in connection with		prep.|与……有关|
in consequence		adv.|结果|
in consequence of		prep.|由于|
in consideration of		prep.|考虑到|
in contact with		prep.|与……接触|
in control		adv.|控制着|
in conversation with		prep.|与……交谈|
in course of		prep.|在……过程中|
in danger		adv.|处于危险中|
in danger of		prep.|有……危险|
in debt		adv.|负债|
in deep water		adv.|处境困难|
in defense of		prep.|保卫|
in despair		adv.|绝望地|
in detail		adv.|详细地|
in difficulty		adv.|处于困境|
in disorder		adv.|混乱|
in dispute		adv.|有争议|
in doubt		adv.|怀疑|
in earnest		adv.|认真地|
in effect		adv.|实际上|
in error		adv.|错误地|
in exchange for		prep.|交换|
in existence		adv.|存在|
in fact		adv.|事实上|
in fashion		adv.|流行|
in favor of		prep.|赞成|
in fear of		prep.|害怕|
in force		adv.|有效|
in front of		prep.|在……前面|
in full		adv.|完全地|
in future		adv.|今后|
in general		adv.|一般来说|
in general terms		adv.|笼统地说|
in good condition		adv.|状况良好|
in good health		adv.|身体健康|
in good spirits		adv.|情绪好|
in half		adv.|成两半|
in hand		adv.|在手头|
in haste		adv.|匆忙地|
in high spirits		adv.|情绪高涨|
in honor of		prep.|为纪念|
in horror		adv.|惊恐地|
in hot water		adv.|陷入困境|
in ignorance		adv.|无知|
in importance		adv.|在重要性上|
in low spirits		adv.|情绪低落|
in memory of		prep.|为了纪念|
in moderation		adv.|适度|
in motion		adv.|在运动中|
in name		adv.|名义上|
in nature		adv.|本质上|
in need		adv.|贫困|
in no case		adv.|决不|
in no time		adv.|立刻|
in no way		adv.|决不|
in one's opinion		adv.|依某人看来|
in one's power		adv.|在某人能力范围内|
in one's view		adv.|在某人看来|
in operation		adv.|运转中|
in order		adv.|整齐|
in order to		conj.|为了|
in other words		adv.|换句话说|
in pairs		adv.|成对|
in part		adv.|部分地|
in particular		adv.|尤其|
in peace		adv.|和平地|
in person		adv.|亲自|
in place		adv.|就位|
in place of		prep.|代替|
in practice		adv.|实际上|
in principle		adv.|原则上|
in private		adv.|私下|
in process		adv.|进行中|
in progress		adv.|进行中|
in proportion to		prep.|与……成比例|
in public		adv.|公开地|
in public places		adv.|在公共场所|
in pursuit of		prep.|追求|
in quantity		adv.|大量|
in question		adv.|讨论中的|
in rags		adv.|衣衫褴褛|
in reality		adv.|实际上|
in regard to		prep.|关于|
in relation to		prep.|关于|
in response to		prep.|回应|
in return		adv.|作为回报|
in return for		prep.|作为……的回报|
in safety		adv.|安全地|
in search of		prep.|寻找|
in season		adv.|应季|
in secret		adv.|秘密地|
in service		adv.|在使用中|
in shape		adv.|体型好|
in short		adv.|简言之|
in sight		adv.|看得见|
in silence		adv.|沉默地|
in size		adv.|在大小上|
in some cases		adv.|在某些情况下|
in space		adv.|在太空|
in spite of		prep.|尽管|
in step		adv.|步伐一致|
in store		adv.|储备着|
in style		adv.|时髦|
in surprise		adv.|惊讶地|
in terms of		prep.|就……而言|
in terror		adv.|惊恐地|
in the absence of		prep.|缺少|
in the air		adv.|在空中；流传|
in the case of		prep.|就……而言|
in the charge of		prep.|由……负责|
in the company of		prep.|在……陪伴下|
in the course of		prep.|在……过程中|
in the dark		adv.|在黑暗中|
in the daytime		adv.|在白天|
in the direction of		prep.|朝……方向|
in the distance		adv.|在远处|
in the driver's seat		adv.|处于支配地位|
in the end		adv.|最后|
in the event of		prep.|如果发生|
in the face of		prep.|面对|
in the field of		prep.|在……领域|
in the form of		prep.|以……形式|
in the front of		prep.|在……前部|
in the future		adv.|将来|
in the hope of		prep.|怀着……的希望|
in the interest of		prep.|为了……的利益|
in the light of		prep.|鉴于|
in the long run		adv.|从长远看|
in the meantime		adv.|与此同时|
in the middle of		prep.|在……中间|
in the name of		prep.|以……名义|
in the nick of time		adv.|正是时候|
in the open air		adv.|在户外|
in the past		adv.|在过去|
in the presence of		prep.|在……面前|
in the process of		prep.|在……过程中|
in the rear		adv.|在后面|
in the service of		prep.|为……服务|
in the shape of		prep.|以……形状|
in the short run		adv.|从短期看|
in the way		adv.|挡路|
in the way of		prep.|妨碍|
in the world		adv.|究竟|
in theory		adv.|理论上|
in this way		adv.|这样|
in time		adv.|及时|
in time of		prep.|在……时候|
in total		adv.|总共|
in touch		adv.|保持联系|
in trouble		adv.|处于困境|
in trouble with		prep.|与……有麻烦|
in truth		adv.|事实上|
in turn		adv.|依次；反过来|
in two		adv.|成两半|
in use		adv.|使用中|
in vain		adv.|徒劳|
in view of		prep.|鉴于|
in want of		prep.|需要|
in whole		adv.|整体上|
in word		adv.|口头上|
in writing		adv.|书面|
in years		adv.|多年|
ina		n.|艾娜(f.)|
inadequate		adj.|不充分的|
inane	/I5neIn; Inen/	adj.|无意义的；愚蠢的|
inapt	/In5Apt; InApt/	adj.|不相干的；不合适的；无用的|
inarm		vt.|[诗]环抱|
inbox		n.|收件箱|
inby		prep.|近于...|
inc	/INk; INk/	abbr.|曼哈顿药物杂物有限公司；参看|
incan		n.|印加人[语]|
incap		n.|<军俚>=incapacitant|
incapable		adj.|无能力的|
incb		|International Narcotics Control Board,国际麻醉药管制委员会|
incentive		n.|激励|
inch	/IntF; IntF/	n.|英寸（；英尺等於；英寸；英寸等於；厘米）|
inche		|<马来语>|
incident		n.|事件|
incl		abbr.|连税在内总额；英镑|
incline		v.|倾斜|
include	/In5klu:d; Inklud/	v.|包括；包含（某人[某事物]）|
incog		n.|隐姓埋名者|
income	/5INkQm; In9kQm/	n.|收入（某一段时间所得；尤指工作报酬或投资收益）|
incompatible		adj.|不兼容的|
incomplete		adj.|不完整的|
incorporate		v.|合并|
increase	/In5kri:s; Inkris/	v.|增加；增大（数目、 数量、 体积等）|
increasingly		adv.|越来越|
incredible		adj.|难以置信的|
incur	/In5k\:(r); Ink/	v.|遭受；蒙受；招致；引起；带来|
incus		n.|[解]砧骨(位于中耳)|
ind		abbr.|政；独立的（候选人）|
indeed	/In5di:d; Indid/	adv.|的确；实在地；确实；用以强调一肯定答覆的语气|
independence		n.|独立|
independent		adj.|独立的|
index	/5Indeks; IndZks/	n.|作|
india		n.|印度(南亚国家)|
indic		adj.|印度的|
indicate		v.|表明|
indication		n.|迹象|
indie		adj.|[电影业]独立的|
indifferent		adj.|漠不关心的|
indio		n.|(旧时在西班牙、葡萄牙统治下的)殖民地土著|
indirect		adj.|间接的|
indispensable		adj.|必不可少的|
individual		n./adj.|个人|
indo		|构词成分；印度人；印度的|
indoor		adj.|室内的|
indra		n.|[古][印度教]因陀罗(主神,司雷雨)|
indri		n.|[动]马达加斯加大狐猴|
induce		v.|诱导|
indue		v.|授与|
indus		n.|印度西北部的河流|
industrial		adj.|工业的|
industrialize		v.|工业化|
industry	/5IndEstrI; IndEstrI/	n.|制造或生产（的部门）；工业；企业；行业|
ineffective		adj.|无效的|
inept	/I5nept; InZpt/	adj.|不熟练的；不擅长的|
inert	/I5n\:t; In[t/	adj.|无行动或活动能力的|
inevitable		adj.|不可避免的|
inez		n.|伊内兹(f.)|
inf		abbr.|在下面；书等的）下（源自拉丁；参看|
infant		n.|婴儿|
infect		v.|感染|
infection		n.|感染|
infer	/In5f\:(r); Inf/	v.|根据事实或推理）推断；推定（一想法）；得出某事物的结论|
inferior		adj.|较差的|
infinite		adj.|无限的|
infix		vt.|使...钻进|
inflation		n.|通货膨胀|
influence		n./v.|影响|
influential		adj.|有影响力的|
info		n.|[计]信息|
inform		v.|通知|
informal		adj.|非正式的|
information	/9InfE5meIFn; 9InfLmeFEn/	n.|通知；告知|
infra	/5InfrE; InfrE/	adv.|拉；书等的）下；在下面|
ingle		n.|炉火|
ingot	/5INgEt; IN^Et/	n.|铸块；锭（尤指金、 银铸锭）|
ingredient		n.|成分|
inh		|isonicotinic acid hydrazide(即isoniazid)|
inhabit		v.|居住于|
inhabitant		n.|居民|
inherit		v.|继承|
ini		n.|[计] 初始化设置文件的后缀名|
inion		n.|[解]枕骨隆突(脑后枕骨外的突出部分)|
initial		adj.|最初的|
initially		adv.|起初|
initiate		v.|开始|
initiative		n.|主动性|
inject		v.|注射|
injun		n.|<美方>印第安人|
injure		v.|伤害|
injury		n.|伤害|
ink	/INk; INk/	n.|墨水；油墨|
inker		n.|墨棒|
inkle		n.|亚麻有色织带|
inky	/5INkI; INkI/	adj.|用墨水弄脏的|
inkyo		|<日>|
inlay	/9In5leI; Inle/	v.|被动语态|
inlet	/5Inlet; In9lZt/	n.|湾；水湾（江河湖海伸入陆地或岛屿间的水域）|
inly		adv.|在内心中|
inn	/In; In/	n.|客栈；小而旧的旅馆（现多指乡村的）；参看|
inner	/5InE(r); InL/	adj.|内部的；里面的|
innocent		adj.|无辜的|
innovation		n.|创新|
innovative		adj.|创新的|
inorb		v.|<诗>包围|
inp		|Index Number of Prices  物价指数 International  News Photos国际新闻图片社|
inpro		|(=in proportion)|
input	/5InpUt; In9pJt/	n.|放入；投入；输入|
inquire		v.|询问|
inquiry		n.|询问|
ins		n.|Insert的简写|
insect		n.|昆虫|
insert		v.|插入|
inset	/5Inset; In9sZt/	n.|添入物（尤指一页印刷品或大图中插入或套印的小图）|
inside	/In5saId; InsaId/	n.|通常作；里面；背面；内侧；内部|
insight		n.|洞察力|
insist		v.|坚持|
insist on		v.|坚持|
insist on doing		v.|坚持做|
insp		abbr.|总巡官（保罗；金|
inspect		v.|检查|
inspection		n.|检查|
inspector		n.|检查员|
inspiration		n.|灵感|
inspire		v.|激励|
inst	/Inst; Inst/	abbr.|旧或；商；本月的|
install		v.|安装|
installation		n.|安装|
installment		n.|分期付款|
instance		n.|实例|
instant		adj.|立即的|
instead	/In5sted; InstZd/	adv.|代替；更换|
instead of		prep.|代替；而不是|
instinct		n.|本能|
institute		n.|学院|
institution		n.|机构|
instruct		v.|指导|
instruction		n.|指示|
instructor		n.|教师|
instrument		n.|仪器|
insult		v.|侮辱|
insurance		n.|保险|
insure		v.|确保|
int		abbr.|参看|
intact		adj.|完好无损的|
intal		n.|[药]色甘酸钠|
integrate		v.|整合|
integration		n.|整合|
integrity		n.|正直|
intel		n.|美国英特尔公司|
intellectual		adj.|智力的|
intelligence		n.|智力|
intelligent		adj.|聪明的|
intend		v.|打算|
intense		adj.|强烈的|
intensity		n.|强度|
intensive		adj.|密集的|
intent		n.|意图|
intention		n.|意图|
inter	/In5t\:(r); Int/	v.|埋葬（尸体）；参看|
interact		v.|互动|
interaction		n.|互动|
interest	/5IntrEst; IntrEst/	n.|兴趣；好奇心；关心|
interesting		adj.|有趣的；引起兴趣的|
interfere		v.|干涉|
interfere in		v.|干涉|
interfere with		v.|妨碍|
interference		n.|干涉|
interior		n.|内部|
intermediate		adj.|中间的|
internal		adj.|内部的|
international	/9IntE5nAFnEl; 9IntLnAFEnl/	adj.|国际的；国际间进行的|
interpret		v.|解释|
interpretation		n.|解释|
interrupt		v.|打断|
interruption		n.|中断|
interval		n.|间隔|
intervene		v.|干预|
intervention		n.|干预|
interview		n.|面试|
intimate		adj.|亲密的|
intimidate		v.|恐吓|
into	/5IntE; IntE, before vowels and finally 元音前及句末读作 5Intu:; Intu/	prep.|进入；到……里|
intra		|前缀；与形容词结合；在内部；在内|
intro	/5IntrEU; Intro/	n.|介绍|
introduce	/9IntrE5dju:s; ?@ 5du:s; 9IntrEdus/	v.|把某人介绍给另外的人；使相互认识；引见|
introduce to		v.|向……介绍|
introduction		n.|介绍|
intuc		|Indian National Trade Union Congress 印度全国职工大会|
inure	/I5njUE(r); InjJr/	v.|通常用於被动语态|
inurn		vt.|把骨灰装罐|
invade		v.|入侵|
invalid		adj.|无效的|
invaluable		adj.|无价的|
invar		n.|不胀钢|
invasion		n.|入侵|
invasion		n.|入侵|
invent		v.|发明|
invention		n.|发明|
inventor		n.|发明家|
invest		v.|投资|
invest in		v.|投资于|
investigate		v.|调查|
investigation		n.|调查|
investment		n.|投资|
investor		n.|投资者|
invisible		adj.|看不见的|
invitation		n.|邀请|
invite	/In5vaIt; InvaIt/	v.|朋友般地）邀请；约请|
involve		v.|涉及|
involvement		n.|参与|
inwit		n.|良知|
io		|[域] British Indian Ocean Territory,英属印度洋领地|
ioc		|International Olympic Committee 国际奥林匹克委员会(=CIO)|
iocu		|International Organization of Consumers Union 国际消费者联盟组织|
iodic		adj.|碘的|
iodid		n.|[化]碘化物|
iodin		n.|[化]碘|
ioe		|International Organization of Employers,国际雇佣者组织|
ioffe		|bar[物](用以增加核聚变时磁场强度的)约飞棒|
iom		abbr.|马恩岛|
ion	/5aIEn; ?@ also 5aICn; aICn/	n.|化或物；离子|
ionia		n.|小亚细亚西岸地名|
ionic	/aI5CnIk; aICnIk/	adj.|建；爱奥尼亚柱式的（希腊建筑风格；柱顶有涡卷形装饰）；参看|
ioof		|Independent Order of Odd Fellows 独立共济会(18 世纪在英国创始的一个秘密兄弟会)|
iorm		|Improved Order of Red Men 红人改进会(美国印第安人一慈善互助机构)|
iosb		|I/O状态块|
iota	/aI5EUtE; aIotE/	n.|希腊字母|
iotp		|Internet Open Trading Protocol,Internet开放贸易协议|
iou	/9aI EU 5ju:; aI9oju/	n.|的；借据；欠条|
iow		abbr.|怀特岛|
iowa		n.|爱荷华州(美国中西部的一州)|
ip		|Internet Protocol,网际协议|
ipa	/9aI pi: 5eI; aI9pie/	abbr.|国际音标；国际语音学协会|
ipc		|interprocess communication,进程间通信|
ipm		|inches per minute 每分钟英寸数,英寸[分|
ipoh		|怡保[马来西亚马来亚地区西北部城市]|
ippf		|International Planned Parenthood Federation 国际计划生育联合会|
ippon		|<日>|
ips		|inches per second 每秒英寸数,英寸[秒|
ipse		|集成化工程项目支持系统|
ipsu		|IP Setup Utility,IP地址配置工具|
ipts		|International Practical Temperature Scale 国际实用温标(指摄氏温标)|
ipx		|Internetwork Packet Exchange,网间网分组交换|
ipy		|International Polar Year 国际极年|
iq	/9aI 5kju:; 9aI kju/	abbr.|智商|
ira	/9aI B:r 5eI; 9aI Br e/	abbr.|爱尔兰共和军|
irade		n.|敕令|
irak		n.|伊拉克共和国|
iraki		adj.|&|
iran		n.|伊朗|
irani		adj.|'=Iranian|
iraq		n.|伊拉克共和国|
iraqi		adj.|伊拉克的|
irate	/aI5reIt; aIret/	adj.|发怒的；愤怒的|
irbm	/9aI B: bi: 5em; 9aI Br bi Zm/	abbr.|中程弹道导弹；参看|
irc		|Internet Relay Chatting,Internet在线聊天系统|
irdp		|ICMP Router Discovery Protocol,ICMP路由发现协议|
ire	/5aIE(r); aIr/	n.|愤怒|
irene		n.|女性名|
irgb		|Intensity Red Green Blue,强度红绿蓝编码|
irgun		n.|伊尔根(在英国统治巴勒斯坦时期进行地下活动的犹太复国主义右翼组织)|
irian		|伊里安(岛)[太平洋](即新几内亚岛|
irid		n.|鸢尾科植物|
iris	/5aIErIs; aIrIs/	n.|解；虹膜；见；插图|
irish	/5aIErIF; aIrIF/	adj.|爱尔兰的；爱尔兰化的；爱尔兰语的；爱尔兰人的|
irk	/\:k; [k/	v.|尤与；连用；使（某人）厌烦；使烦恼|
irl		n.|中断请求线|
irma		n.|厄玛(Erma的异体)(f.)|
iron	/5aIEn; ?@ 5aIErn; aILn/	n.|化；铁|
iron out		v.|解决|
irone		n.|[化]鸢尾酮|
ironic		adj.|讽刺的|
irony	/5aIErEnI; aIrEnI/	n.|反语；反话|
irq		|interrupt request,中断请求|
irregular		adj.|不规则的|
irrelevant		adj.|无关的|
irresistible		adj.|不可抗拒的|
irrigate		v.|灌溉|
irritate		v.|激怒|
irs		|Internal Revenue Service  美国国税局|
irv		n.|<美俚>(黑人用语)警官|
is		abbr.|向风群岛；不列颠群岛；参看|
isa		|Industry Standard Architecture,工业标准结构|
isaac		n.|艾萨克(男人名)|
isapi		|Internet Server Application Program Interface,Internet服务器应用程序接口|
isbn	/9aI es bi: 5en; 9aI Zs bi Zn/	abbr.|国际标准图书编号|
isc		|Intel Server Control,Intel服务器控制|
isd	/9aI es 5di:; 9aI Zs di/	abbr.|国际电话用户拨号服务|
isdn		|Integrated Services Digital Network,综合业务数字网|
ise		|伊势[日本本州岛南部城市](临伊势湾)|
isf		|信息系统加工线,信息系统工厂|
