u	/ju:; ju/	adj.|或谑；视为上等阶层的；有上流社会特徵的|
ugli	/5QglI; Q^lI/	n.|丑橘（产於西印度群岛的黄绿杂色柑橘；系葡萄柚与橘的杂交品种）|
ugly	/5QglI; Q^lI/	adj.|难看的；难听的；丑陋的|
ugric		adj.|&|
ugt		|urgent (电报用语)急电|
uh		|upper half 上半部分|
uhf	/9ju: eItF 5ef; 9ju etF Zf/	abbr.|无；超高频；参看|
uhlan		n.|枪骑士|
uht	/9ju: eItF 5ti:; 9ju etF ti/	abbr.|指乳制品）经高温处理的|
ui		|User Interface,用户界面|
uigur		n.|维吾尔人[语]|
uis		|Unemployment Insurance Service (美国)失业保险局|
uk	/9ju: 5keI; 9ju ke/	abbr.|通讯地址）（大不列颠及北爱尔兰）联合王国（即英国）|
ukaea		|United Kingdom Atomic Energy Authority 联合王国原子能管理局|
ukase		n.|谕旨|
uke		n.|尤克里里琴(吉他型四弦拨奏乐器)|
uknet		|Uknet网|
ul		|Underwriters' Laboratories (美国)保险商实验所|
ulama		n.|'=ulema|
ulan		n.|'=uhlan|
ulcer	/5QlsE(r); QlsL/	n.|溃疡|
ulf		|Ultra Low Frequency  [无]超低频率|
ulm		|乌尔姆[德意志联邦共和国南部城市](或译乌耳姆)|
ulna	/5QlnE; QlnE/	n.|解；尺骨；见；插图；参看|
ulnar		adj.|尺骨的|
uloid		adj.|瘢痕状的|
ulterior		adj.|隐秘的|
ultimate		adj.|最终的|
ultimately		adv.|最终|
ultimatum		n.|最后通牒|
ultra		|前缀；可用作较多形容词的前缀|
ultraviolet		adj.|紫外线的|
ulu		n.|乌卢刀(爱斯基摩妇女传统使用的一种刀片呈新月状的刀)|
ulva		n.|[植]石莼|
uma		n.|上端内存区|
umb		n.|上位内存块|
umbel		n.|[植]伞状花序|
umber	/5QmbE(r); QmbL/	n.|棕土；赭土（一种深棕色天然颜料）|
umbilical		adj.|脐带的|
umbo		n.|盾中心的浮雕|
umbra	/5QmbrE; QmbrE/	n.|天；本影；参看|
umbrella		n.|雨伞|
umc		|台湾联华电子公司|
umiak		n.|(爱斯基摩人所用的)木架蒙皮船|
uml		|Unified Modeling Language,统一语言模式|
ump		n.|裁判员|
umpire		n.|裁判|
umpty		adj.|若干的|
umpy		n.|<澳口>=umpire|
umt		|Universal Military Training 普遍军训|
umw		|United Mine Workers (美国)矿工联合会|
un	/En; En/	pron.|人；事物|
una		|United Nations Association 联合国协会|
unable		adj.|不能的|
unaec		|United Nations Atomic Energy Commission 联合国原子能委员会|
unamo		n.|[植]多果杰森棕(一种南美产的棕树,其种子产油)|
unanimous		adj.|一致的|
unapt		adj.|不合适的|
unarm		vt.|缴械|
unary		adj.|[数]一元的|
unassuming		adj.|谦逊的|
unate		adj.|[数](函数)非蚀的|
unau		n.|[动]二趾树懒|
unavoidable		adj.|不可避免的|
unaware		adj.|不知道的|
unbag		vt.|把...从袋里倒(或取、放)出来|
unbalanced		adj.|不平衡的|
unbar	/9Qn5bB:(r); QnbBr/	v.|拉开（门等）的闩|
unbe		vi.|<古>不复是|
unbearable		adj.|无法忍受的|
unbed		vt.|把...从花坛(或苗等)中拔(或掘) 起床|
unbelievable		adj.|难以置信的|
unbid		adj.|'=unbidden|
unbounded		adj.|无限的|
unbox		vt.|从箱子中取出|
unc		|Universal Naming Conversion,通用命名标准|
uncanny		adj.|神秘的|
uncap		v.|打开|
uncdf		|United Nations Capital Development Fund,联合国资本开发基金 联合国资本开发基金会|
uncertain		adj.|不确定的|
uncertainty		n.|不确定性|
unche		|United Nations Conference on the Human Environment 联合国人类环境会议|
unci		|uncus 的复数形式|
uncio		|United Nations Conference on International Organization 联合国国际组织会议|
uncle	/5QNkl; QNkl/	n.|伯父；叔父；舅父；姑父；姨父|
unco		adj.|不知名的|
uncomfortable		adj.|不舒服的|
uncommon		adj.|不寻常的|
unconditional		adj.|无条件的|
unconscious		adj.|无意识的|
uncover		v.|揭露|
uncus		n.|[昆](鳞翅目、双翅目等昆虫的雄性外生殖器中的)爪形突|
uncut	/9Qn5kQt; QnkQt/	adj.|指书）书页未切齐或未切开的；毛边的|
undam		vt.|从...撤去堤坝 使从堤(或坝)中涌出 使如决堤般流出|
undc		|United Nations Disarmament Commission 联合国裁军审议委员会|
undee		adj.|波形的|
under	/5QndE(r); QndL/	prep.|在……下面|
under control		adv.|受控|
under lock and key		adv.|妥善保管|
under the weather		adj.|不舒服|
undercurrent		n.|暗流|
underestimate		v.|低估|
undergo		v.|经历|
undergraduate		n.|本科生|
underground		adj.|地下的|
underline		v.|强调|
undermine		v.|削弱|
underneath		prep.|在……下面|
understand	/9QndE5stAnd; 9QndLstAnd/	v.|理解；了解；明白|
understanding		n.|理解|
undertake		v.|承担|
undertaking		n.|事业|
underwear		n.|内衣|
undesirable		adj.|不受欢迎的|
undid		vbl.|undo的过去式|
undo	/Qn5du:; Qndu/	v.|解开；松开（结、 钮扣等）；打开；拆开（包裹、 信封等）|
undoubted		adj.|无疑的|
undoubtedly		adv.|无疑|
undp		|United Nations Development Program,联合国开发计划署|
undress		v.|脱衣|
undro		|United Nations Disaster Relief Organization 联合国救灾组织|
undue	/9Qn5dju:; ?@ -5du:; Qndu/	adj.|不当的；过分的；过度的|
uneasy		adj.|不安的|
uneda		|United Nations Economic Development Administration 联合国经济开发署|
unef		|United Nations Emergency Force 联合国紧急部队|
unemployed		adj.|失业的|
unemployment		n.|失业|
unep		|United Nations Environment Programme 联合国环境规划署|
uneven		adj.|不平的|
unexpected		adj.|意外的|
unfair		adj.|不公平的|
unfasten		v.|解开|
unfed		adj.|未得到食物的|
unfit	/9Qn5fIt; QnfIt/	adj.|不合格的；不适宜的|
unfix		vt.|解开|
unfold		v.|展开|
unforgettable		adj.|难忘的|
unfortunate		adj.|不幸的|
unfortunately		adv.|不幸地|
unga		|United Nations General Assembly 联合国大会|
unhappy		adj.|不开心的|
unhat		vt.|脱下...的帽子|
unhcr		|United Nations High Commissioner for Refugees 联合国难民事务高级专员(办事处)|
unhip		adj.|非赶时髦派的|
uni		|构词成分；单；一|
uniat		n.|东仪天主教会的信徒|
unido		n.|联合国工业发展组织 United Nations Industrial Development Organization|
uniform		n.|制服|
unify	/5ju:nIfaI; junE9faI/	v.|使（某物）成为一体；使统一；使一致|
unio		n.|[动]珠蚌|
union	/5ju:nIEn; junjEn/	n.|结合；联合；合并|
union is strength		n.|团结就是力量|
unique		adj.|独特的|
unit	/5ju:nIt; junIt/	n.|作为计算单位等的单个的事物、 人或群体或构成复杂整体的）单位；单元|
unita		|争取安哥拉彻底独立全国同盟|
unite	/ju:5naIt; junaIt/	v.|使人或事物）合为一体；联合；合并；统一；团结|
unitr		n.|联合国调查训练研究所|
units		n.|单位|
unity	/5ju:nEtI; junEtI/	n.|单一；唯一；统一；一体|
univ		abbr.|伦敦大学；索尔福德大学|
universal		adj.|普遍的|
universe		n.|宇宙|
university	/9ju:nI5v\:sEtI; 9junEv[sEtI/	n.|大学；综合性高等学府（的学院、 建筑物等）|
unix		n.|一种多用户的计算机操作系统|
unjust		adj.|不公正的|
unkind		adj.|不友善的|
unknown		adj.|未知的|
unlax		v.|(使)放松|
unlay		v.|解散(绳股)|
unless		conj.|除非|
unlet		adj.|未出租的|
unlib		adj.|'=unliberated|
unlid		v.|揭开...盖子|
unlike		prep.|不像|
unlikely		adj.|不太可能的|
unlit		adj.|未点燃的|
unload		v.|卸货|
unlock		v.|解锁|
unlucky		adj.|不幸的|
unman	/9Qn5mAn; QnmAn/	v.|或修辞；削弱（某男子）的自制力或勇气|
unmet		adj.|未满足的|
unmew		vt.|<诗>释放|
unmix		v.|(使)不混合 (使)无法混合|
unnatural		adj.|不自然的|
unnecessary		adj.|不必要的|
uno	/5ju:nEU; juno/	abbr.|联合国组织|
unpc		|United Nations Peace Corps,联合国(维持)和平部队|
unpeg		vt.|拔木栓|
unpen		vt.|从圈中放出|
unpin		vt.|拔去别针|
unpleasant		adj.|令人不快的|
unprecedented		adj.|史无前例的|
unput		adj.|未放置的|
unravel		v.|解开|
unrest		n.|动荡|
unrig		vt.|取下索具|
unrip		v.|撕开|
unruly		adj.|难控制的|
unrwa	/5QnrE; QnrE/	abbr.|联合国难民救济及工程处|
unsatisfactory		adj.|不令人满意的|
unsay	/9Qn5seI; Qnse/	v.|被动语态；取消；收回（说过的话）；撤回|
unsc		|United Nations Security Council,联合国安全理事会,安理会|
unscrupulous		adj.|不择手段的|
unset		adj.|未凝固的|
unsex		vt.|使失去性功能|
unsf		|United Nations Special Fund,联合国特别基金 United Nations Security Force,联合国和平军队|
unstable		adj.|不稳定的|
unsteady		adj.|不稳的|
unsuitable		adj.|不合适的|
untaa		|United Nations Technical Assistance Administration 联合国技术援助管理处|
untie		vt.|解开|
until	/En5tIl; EntIl/	prep.|直到|
unto		prep.|(=to)到|
unusual		adj.|不寻常的|
unveil		v.|揭幕|
unwed		adj.|没有结婚的|
unwilling		adj.|不情愿的|
unwit		vt.|<废>使丧失智能 使精神错乱|
unzip		vi.|拉开拉链|
up	/Qp; Qp/	adv.|向上；prep.|沿着……向上|
up in arms		adv.|强烈反对|
up to		prep.|多达；直到|
up to date		adj.|最新的|
up-to-date		adj.|最新的|
upas		n.|[植]见血封喉|
upbow		n.|(演奏弦乐器时的)全弓奏|
upbraid		v.|责备|
upc		|Universal Product Code 通用产品代码 [军] Unit Production Costs,单件生产成本|
update		v.|更新|
upend		v.|颠倒|
upgrade		v.|升级|
uphold		v.|支持|
upi	/9ju: pi: 5aI; 9ju pi aI/	abbr.|合众国际社|
upkeep		n.|保养|
upland		n.|高地|
upolu		|乌波卢岛[南太平洋](岛国西萨摩亚的主岛之一)|
upon	/E5pCn; EpBn/	prep.|在……上|
upper	/5QpE(r); QpL/	adj.|位置或地位）较高的；位於另一（尤指相似的）部分之上的|
uppie		n.|<俚>兴奋剂(尤指安非他明)|
upright		adj.|直立的|
uprising		n.|起义|
uproar		n.|骚动|
ups		n.|Uninterruptible power supply|
ups and downs		n.|起起落落|
upset	/9Qp5set; QpsZt/	v.|打翻；弄翻（某物）（尤指无意地）|
upshot		n.|结果|
upside		n.|上面|
upstairs		adv.|楼上|
upstart		n.|暴发户|
upton		n.|厄普顿(m.)|
upu		|Universal Postal Union,万国邮政联盟|
upward		adv.|向上|
upya		int.|<澳俚>操你妈的|
ur		n.|吾珥|
ural		n.|乌拉尔河|
urase		n.|'=urease|
urate		n.|[化]尿酸盐|
urawa		|浦和[日本本州岛中南部城市]|
urban	/5\:bEn; [bEn/	adj.|市镇的；位於市镇的；住在市镇的|
urbane		adj.|文雅的|
urbia		n.|[总称]城市(以别于suburbia和exurbia)|
urbm		|ultimate range ballistic missile[军]最远程弹道导弹|
urc		|Uniform Resource Citation,统一资源引用|
urd		n.|(印度产的)黑绿豆|
urdu	/5UEdu:; Jrdu/	adj.|乌尔都语（与印地语有共同处；但含许多波斯语词；尤使用於巴基斯坦）|
urea	/jUE5rIE; ?@ 5jUrIE; jJrIE/	n.|尿素|
urga		|库伦(现称乌兰巴托|
urge	/\:dV; [dV/	v.|驱赶；驱策（马等）|
urgency		n.|紧迫|
urgent		adj.|紧急的|
urger		n.|推进者|
uri		|upper respiratory infection[医]上呼吸道感染;Uniform Resource Identifier,统一资源标识符|
urial		n.|[动]东方盘羊(一种产于亚洲南部的红褐色野绵羊)[南亚土著语]|
uric	/5jUErIk; jJrIk/	adj.|尿的|
uriel		n.|[宗]乌列(基督教<<圣经>>和伊斯兰教<<古兰经>>所载天使长之一)|
urine	/5jUErIn; jJrIn/	n.|尿|
url		|Uniform (Universal) Resource Locator 统一（通用）资源定位器|
urn	/\:n; [n/	n.|瓮；尤指）骨灰瓮|
ursa		n.|[天]大熊星座|
urson		n.|[动]鸾猪|
urubu		n.|(从阿根廷到美国南部一带产的)黑秃鹫|
urus		n.|野牛|
us	/Es; Es strong form 强读式 Qs; Qs/	pron.|我们|
usa	/9ju: es 5eI; 9ju Zs e/	abbr.|美国陆军|
usac		|United States Auto Club 美国汽车俱乐部|
usaf	/9ju: es eI 5ef; 9ju Zs e Zf/	abbr.|美国空军|
usafe		|United States Air Force in Europe 美国驻欧洲空军|
usafi		|United States Armed Forces Institute 美国武装部队业余进修学院|
usage	/5ju:sIdV, 5ju:zIdV; jusIdV, juzIdV/	n.|用法；处理；对待|
usaid		|United States Agency for International Development 美国国际开发署|
usar		|United States Army Reserve 美国陆军后备队|
usb		|Universal Serial Bus,通用串行总线|
usbeg		n.|'=Uzbek|
usbek		n.|'=Uzbek|
uscf		|United States Chess Federation 美国国际象棋联合会|
uscg		|United States Coast Guard 美国海岸警卫队|
uscgr		|United States Coast Guard Reserve美国海岸警卫队后备队|
usda		|United States Department of Agriculture 美国农业部|
use	/ju:z; juz/	v.|使用；利用；n.|用途|
use up		v.|用完|
used	/ju:zd; juzd/	adj.|指衣物、 汽车等）用旧了的；使用过的；二手的|
useful	/5ju:sfl; jusfEl/	adj.|实用的；适用的；有用的；有益的；有帮助的|
user	/5ju:zE(r); juzL/	n.|尤用以构成复合词；使用者；用户|
uses		|United States Employment Service 美国就业局|
usga		|United States Golf Association 美国高尔夫球协会|
usgs		|United States Geological Survey 美国地质勘探局|
ush		vi.|<俚>作招待员|
usha		|United States Housing Authority 美国住房管理局|
ushas		n.|(印度教)黎明女神|
usher	/5QFE(r); QFL/	n.|电影院、 教堂、 公共大厅等的）引座员；将客人领到某人面前的）招待员；迎宾员|
usia		|United States Information Agency 美国新闻署|
usib		|United States Intelligence Board 美国情报委员会|
using		vbl.|用|
usis		|United States Information Service 美国新闻处|
uslta		|United States Lawn Tennis Association 美国草地网球协会|
usmc		|United States Marine Corps 美国海军陆战队|
usmcr		|United States Marine Corps Reserve 美国海军陆战队后备队|
usn	/9ju: es 5en; 9ju Zs Zn/	abbr.|美国海军|
usnea		n.|[植]松萝|
usng		|United States National Guard 美国国民警卫队|
usnr		|United States Naval Reserve 美国海军后备队|
uso		|United Service Organizations (美国)劳军联合组织|
usom		|United States Operations Mission 美国援外使团|
usphs		|United States Public Health Service 美国公共卫生署|
usps		|United States Postal Service 美国邮政管理局|
usque		n.|威士忌酒|
usr		|U.S.Robotic 公司,著名的调制解调器制造商|
usrc		|United States Reserve Corps 美国后备军|
uss	/9ju: es 5es; 9ju Zs Zs/	abbr.|美国船|
ussb		|United States Shipping Board 美国航运局|
ussc		|United States Supreme Court,美国最高法院|
ussr	/9ju: es es 5B:(r); 9ju Zs Zs Br/	abbr.|苏联|
usss		|United States Steamship 美国船|
ustc		|United States Tariff Commission 美国关税委员会|
usts		|United States Travel Service 美国旅行社|
usual	/5ju:Vl; juVEl/	adj.|通常的；平常的；惯常的|
usurp	/ju:5z\:p; jJz[p/	v.|篡夺或武力夺取（某人的权力、 权利、 地位）|
usury	/5ju:VErI; juVErI/	n.|旧；通常作义；高利贷；高利|
usv		|United States Volunteers 美国志愿兵|
usw		|<德> und so weiter等等,以及其他等等(=and so forth)|
ut		n.|八度音阶的第一音|
uta		|<法>Union des Transports Aeriens(法国)联合航空运输公司|
utah		n.|犹他州(略作Ut.,UT)|
ute		n.|<澳口>小卡车|
utensil		n.|器具|
uteri		|uterus的复数|
uterus		n.|子宫|
uther		|(大龙头)尤瑟(英国传说中的不列颠王,亚瑟王之父)|
utica		|尤蒂卡[美国纽约州中部城市]|
util		n.|跑龙套|
utility		n.|效用|
utilize		v.|利用|
utmost		adj.|最大的|
uto		|United Towns Organization,姊妹市团体联盟|
utopia		n.|乌托邦|
utp		|Unshielded Twisted Paired,非屏蔽双绞线|
utter	/5QtE(r); QtL/	adj.|用以加强名词的词义；完全的；彻底的；绝对的|
utterance		n.|话语|
utterly		adv.|完全地|
utwa		|United Textile Workers of America 美国纺织工人联合会|
uv		adj.|紫外的|
uvea		n.|[解]眼色素层|
uvual		n.|小舌|
uvula	/5ju:vjUlE; juvjElE/	n.|作；科技用语作|
uw		|w underwriter|
