o	/E; E/	prep.|尤用以构成复合词组|
ocean	/5EUFn; oFEn/	n.|洋；海洋；大海|
och		int.|啊!|
ocher		n.|黄土|
ochre	/5EUkE(r); okL/	n.|赭石（用作颜料）|
ocker		|<澳俚>|
ocr		n.|Optical Character Recognition|
ocs		|Officer Candidate School (美国)候补军官学校|
ocso		|Order of Cistercians of the Strict Observance (天主教) 西多会|
oct		abbr.|年；月；日|
octad		n.|八个一组|
octal		adj.|八进制的|
octan		adj.|每隔八日发一次的|
octet	/Ck5tet; BktZt/	n.|八重唱；八重奏；八重演唱或演奏者|
october		n.|十月|
octu		|Officer Cadets Training Unit(英国)军官学校学员训练队|
octyl		n.|[化]辛基|
od		n.|自然力 OD 过量毒品|
oda		|办公文档体系结构|
odal		adj.|&|
odbc		|Open Database Connectivity,开放式数据库连接性|
odd	/Cd; Bd/	adj.|奇怪的；不寻常的；怪的|
oddly		adv.|奇怪地；怪地|
odds	/Cdz; Bdz/	n.|可能性；机会|
ode	/EUd; od/	n.|通常为长篇的）颂诗|
odea		|odeum的复数|
odeon		n.|剧场|
oder		|奥得河[中欧]|
odeum		n.|(古希腊、古罗马的)奏乐堂|
odic		adj.|颂歌的|
odin		n.|[北欧神话] 欧丁神|
odium	/5EUdIEm; odIEm/	n.|憎恨；厌恶|
odm		|Ministry of Overseas Development海外开发部|
odor		n.|气味|
odour	/5EUdE(r); odL/	n.|香的或臭的）气味|
odra		|<波兰语><捷克语>=Oder|
odt		|Office of Defense Transportation(美国第二次世界大战期间的) 国防运输局|
odu		|Old Dutch|
odyl		n.|'=od|
oe		|o与e之合字,亦可将oe合写|
oebf		|Open eBook Forum,开放电子图书论坛|
oecd	/9EU i: si: 5di:; 9o i si di/	abbr.|经济合作与发展组织|
oeec		|Organization for European Economic Cooperation[史]欧洲经济合作组织|
oem		|[计]Original Equipment Manufacture,原始设备制造商|
oeo		|Office of Economic Opportunity(美国)经济机会局|
oep		|Office of Emergency Preparedness(美国)应急准备局|
oer		|光(学)标记阅读机|
oes		|Order of the Eastern Star(天主教)东星会|
of	/Ev; Ev strong form 强读式 Cv; Bv/	prep.|……的；关于|
of course		adv.|当然|
ofay		n.|白人|
off	/Cf; ?@ R:f; Rf/	adv.|离开；prep.|从……离开|
off duty		adv.|下班|
offal	/5Cfl; ?@ 5R:fl; Rfl/	n.|食用的）动物内脏；下水|
offend		v.|冒犯|
offense		n.|冒犯|
offensive		adj.|冒犯的|
offer	/5CfE(r); ?@ 5R:f-; RfL/	v.|向某人）提出某事物供考虑、 接受或拒绝；提供|
offering		n.|供品|
office	/5CfIs; ?@ 5R:f-; RfIs/	n.|常作；办公室；办公楼|
offset		v.|抵消|
offspring		n.|后代|
ofm		|Order of Friars Minor(天主教)小兄弟会|
ofr		|Old French|
ofris		|Old Frisian|
ofs		|Orange Free State|
oft	/Cft; ?@ R:ft; Rft/	adv.|尤用以构成复合词；常|
often	/5Cfn, also 5CftEn; ?@ 5R:fn; RfEn/	adv.|经常|
ofuro		n.|(日本人用的)大浴盆|
ogam		|(=ogham)|
ogee		n.|弯曲|
ogham		|(=ogam)|
ogive		n.|交错骨|
ogle	/5EUgl; o^l/	v.|色迷迷地看（尤指看女子）|
ogo		|Orbiting Geophysical Observatory|
ogpu		n.|格别鸟|
ogre	/5EUgE(r); o^L/	n.|传说和童话中的）吃人巨妖|
oh	/EU; o/	|表示惊奇、 恐惧、 快乐等|
ohg		|Old High German|
ohia		n.|'=lehua|
ohio		n.|俄亥俄州(美国州名)|
ohm	/EUm; om/	n.|欧姆（电阻单位）|
ohmic		adj.|欧姆的|
ohms	/9EU eItF em 5es; 9o etF Zm Zs/	abbr.|尤作公、 信封等的标记）为女王[英王]陛下效劳|
oho	/EU5hEU; oho/	|表示惊奇或胜利|
ohone		int.|'=ochone|
oid		|Object identifier,对象标识符|
oil	/RIl; RIl/	n.|油|
oiled		adj.|涂油的|
oiler		n.|油商|
oily	/5RIlI; RIlI/	adj.|似）油的|
oink		n.|<美> (猪的)呼噜声|
oit		|Office of International Trade(美国)国际贸易局|
oita		|大分[日本九州岛东北岸港市]|
oj		|Orange Juice,橘汁,橙汁|
ojt		|On the Job Training ,在职训练|
ok		adj.|好|
okapi	/EU5kB:pI; okBpI/	n.|俄卡鹿皮 （产於中非；类似长颈鹿；但颈短身有条斑）|
okay	/9EU5keI; oke/	adj.|好；不错|
oke		adj.|好的|
okeh		n.|认可|
okey		vt.|&|
oki		n.|冲电气(日本著名的电子公司)|
okie		n.|俄克拉荷马州民|
okka		n.|奥克(土耳其和约旦的重量单位,约等于2.75磅)|
okra	/5EUkrE; okrE/	n.|秋葵（荚）（可作蔬菜）|
okro		n.|<美方>=okra|
ol		|Old Latin|
olaf		n.|奥拉夫(m.)|
oland		|厄兰岛[瑞典东南部]|
olap		|online analytical processing,在线分析处理|
old	/EUld; old/	|用法|
olden	/5EUldEn; oldn/	adj.|往昔的；时的|
older		adj.|年长的|
oldie		n.|老人；陈旧之物|
oldy		n.|'=oldie|
ole		n.|Object Linking and Embedding|
olea		|oleum的复数|
oleic		adj.|油的|
olein		n.|甘油之油酸脂|
olent		adj.|<古>有香味的|
oleo		n.|人造黄油|
oleum		n.|发烟硫酸|
olg		|Old Low German|
olga		n.|奥尔加(f.)|
olid		adj.|臭的|
olim		|[复]<希伯来>|
olio		n.|什锦菜|
olive	/5ClIv; BlIv/	n.|橄榄|
olla		n.|土制冰瓮|
olm		n.|[动]洞螈|
olmec		n.|奥尔梅克人(居住在墨西哥东南部的有高度文化的古印第安人)|
ology		n.|学问|
oltp		|联机事务处理|
om	/9EU 5em; 9o Zm/	abbr.|功绩勋章（获得者）|
oma		|orderly marketing agreement有秩序的市场销售协定|
omagh		|奥马[英国北爱尔兰西部城镇](蒂龙郡首府)|
oman		adj.|阿曼(阿拉伯东南部沿海地区)|
omar		n.|奥马尔(m.)|
omber		n.|三人玩的奥伯尔牌戏|
ombre		|(=omber)|
omega	/5EUmIgE; ?@ EU5megE; omZ^E/	n.|希腊字母表的最後一个字母|
omen	/5EUmen; omIn/	n.|预兆；徵兆|
omg		|Overhead Mounted Gun,顶置炮;Object Management Group,对象管理组织|
omit	/E5mIt; EmIt/	v.|未做某事物；忘记做某事物；不做某事物；忽略；疏忽|
omni		|构词成分；全；总；遍及|
omsk		|鄂木斯克[苏联西伯利亚西部城市]|
omt		|Object Modeling Technology,对象建模技术|
omuda		|大牟田[日本九州岛西北岸港市]|
omuta		|大牟田[日本九州岛西北岸港市]|
on	/Cn; Bn/	prep.|在……上；关于|
on a diet		adv.|节食|
on a large scale		adv.|大规模|
on a small scale		adv.|小规模|
on a trip		adv.|在旅行|
on account of		prep.|由于|
on all sides		adv.|四面八方|
on an average		adv.|平均|
on and off		adv.|断断续续|
on and on		adv.|继续不停地|
on average		adv.|平均|
on bad terms with		prep.|与……关系不好|
on balance		adv.|总的来说|
on behalf of		prep.|代表|
on behalf of sb		prep.|代表某人|
on board		adv.|在船（飞机）上|
on business		adv.|出差|
on condition that		conj.|条件是|
on display		adv.|展出|
on duty		adv.|值班|
on earth		adv.|究竟|
on edge		adv.|紧张不安|
on end		adv.|连续|
on fire		adv.|着火|
on foot		adv.|步行|
on good terms with		prep.|与……关系好|
on guard		adv.|警惕|
on hand		adv.|在手边|
on holiday		adv.|度假|
on leave		adv.|休假|
on loan		adv.|出借|
on no account		adv.|决不|
on one hand		adv.|一方面|
on one's arrival		adv.|到达时|
on one's feet		adv.|站着|
on one's guard		adv.|警惕|
on one's knees		adv.|跪着|
on one's own		adv.|独自|
on one's way		adv.|在路上|
on paper		adv.|理论上|
on principle		adv.|原则上|
on purpose		adv.|故意|
on sale		adv.|出售；减价|
on schedule		adv.|按时|
on second thought		adv.|转念一想|
on show		adv.|展出|
on strike		adv.|罢工|
on the basis of		prep.|在……基础上|
on the beach		adv.|在海滩|
on the board		adv.|在董事会上|
on the borderline		adv.|在边界|
on the bus		adv.|在公交车上|
on the calendar		adv.|在日历上|
on the campus		adv.|在校园里|
on the committee		adv.|在委员会中|
on the condition		conj.|条件是|
on the contrary		adv.|相反|
on the eve of		prep.|在……前夕|
on the farm		adv.|在农场|
on the fence		adv.|犹豫不决|
on the ground		adv.|在地上|
on the ground floor		adv.|在一楼|
on the horizon		adv.|在地平线上|
on the increase		adv.|在增加|
on the job		adv.|在工作|
on the left		adv.|在左边|
on the list		adv.|在名单上|
on the market		adv.|在市场上|
on the menu		adv.|在菜单上|
on the move		adv.|在移动|
on the news		adv.|在新闻里|
on the occasion of		prep.|在……之际|
on the one hand		adv.|一方面|
on the other hand		adv.|另一方面|
on the part of		prep.|就……而言|
on the phone		adv.|在打电话|
on the plane		adv.|在飞机上|
on the playground		adv.|在操场上|
on the point of		prep.|正要|
on the radio		adv.|在广播里|
on the right		adv.|在右边|
on the right track		adv.|在正确的轨道上|
on the rise		adv.|在上升|
on the road		adv.|在路上|
on the run		adv.|奔逃|
on the same page		adv.|意见一致|
on the scene		adv.|在现场|
on the shelf		adv.|在架子上|
on the shore		adv.|在岸边|
on the spot		adv.|当场|
on the stage		adv.|在舞台上|
on the street		adv.|在街上|
on the surface		adv.|表面上|
on the table		adv.|在桌上|
on the team		adv.|在队里|
on the telephone		adv.|在通电话|
on the tip of one's tongue		adv.|话到嘴边|
on the top of		prep.|在……顶部|
on the train		adv.|在火车上|
on the tree		adv.|在树上|
on the wall		adv.|在墙上|
on the way		adv.|在路上|
on the whole		adv.|总的来说|
on the wing		adv.|在飞行中|
on thin ice		adv.|如履薄冰|
on this occasion		adv.|在这个场合|
on time		adv.|准时|
on top		adv.|在顶部|
on top of		prep.|在……顶部|
on tour		adv.|巡回演出|
on trial		adv.|受审|
on vacation		adv.|度假|
on view		adv.|展出|
once	/wQns; wQns/	adv.|一次；曾经|
once again		adv.|再一次|
once in a blue moon		adv.|千载难逢|
once in a while		adv.|偶尔|
once more		adv.|再一次|
once or twice		adv.|一两次|
once upon a time		adv.|从前|
oncer		n.|只做一次的人|
one	/wQn; wQn/	num.|一；pron.|一个人|
one after another		adv.|一个接一个|
one after the other		adv.|一个接一个|
one another		pron.|互相|
one by one		adv.|一个一个地|
one day		adv.|有一天|
one of these days		adv.|近日|
one swallow does not make a summer		n.|一燕不成夏|
oner		n.|无比的人|
oni		|Office of Naval Intelligence (美国)海军情报局|
onion	/5QnIEn; QnjEn/	n.|洋葱；葱头|
onlay		vt.|裱贴(装饰用贴面) 镶上(镶嵌物)|
online		adj.|在线的|
only	/5EUnlI; onlI/	adv.|只；adj.|唯一的|
only if		conj.|只有在……时|
only too		adv.|非常|
ono	/9EU en 5EU; 9o Zn o/	abbr.|尤指分类广告中）或略低於此价；可还价|
onr		|Office of Naval Research(美国)海军研究局|
onset	/5Cnset; Bn9sZt/	n.|爆发性的）开始（尤指不愉快的事）|
onthe		n.|在|
ontic		adj.|本体的|
onto	/5CntE; BntE, before vowels and finally 於元音前及末尾处读作 5Cntu:; Bntu/	prep.|移到（某物表面）上|
onus	/5EUnEs; onEs/	n.|职责；责任；负担|
onyx	/5CnIks; BnIks/	n.|缟玛瑙|
oo		|(=Object Oriented)面向对象的|
ooa		|面向对象分析|
oodbs		|面向对象数据库系统|
oodm		|面向对象数据模型|
oof		n.|<俚>钱|
oofy		adj.|<英俚>有钱的|
oom		n.|<南非>伯父|
oomph	/Umf; Jmf/	n.|精力；热情；性感|
oona		n.|乌纳(亦作 Oonagh)(f.)|
oont		n.|<印英口><澳口>骆驼|
oop		|Object Oriented Programming,面向对象的程序设计|
oopm		|面向对象程序设计方法学|
oops		int.|表示惊讶|
oos		|Out Of Stock 缺货,无库存 (=OS)|
oose		n.|<苏格兰方>灰尘|
ootid		n.|[生]卵(子)细胞|
ooze	/u:z; uz/	v.|指浓稠液体）慢慢流出|
oozie		n.|(缅甸的)驯象人|
oozy		adj.|软泥的|
op	/Cp; Bp/	abbr.|贝多芬；大调第；号钢琴奏鸣曲；作品第；号|
opac		|Online Public Access Catalog,在线公共访问目录|
opah		n.|[鱼]月鱼(温带海产的美味食用大鱼)|
opal	/5EUpl; opl/	n.|蛋白石|
opaque		adj.|不透明的|
ope		v.|开放|
opec	/5EUpek; o9pZk/	abbr.|石油输出国组织|
open	/5EUpEn; opEn/	v.|打开；adj.|开着的|
open fire		v.|开火|
open sesame		n.|敲门砖|
open the door to		v.|为……开门|
open up		v.|打开；开放|
opening		n.|开口|
opera	/5CprE; BpErE/	n.|歌剧（剧本）|
operate		v.|操作|
operate on		v.|给……做手术|
operate on sb		v.|给某人动手术|
operation	/9CpE5reIFn; 9BpEreFEn/	n.|运转；操作；工作|
operational		adj.|操作的|
operator		n.|操作员|
opern		n.|歌剧|
ophir		n.|俄斐(<<圣经·列王记>>中的盛产黄金和宝石之地)|
opine		v.|想|
opinion	/E5pInIEn; EpInjEn/	n.|意见；看法；主张|
opium	/5EUpIEm; opIEm/	n.|鸦片|
opponent		n.|对手|
opportunity	/9CpE5tju:nEtI; ?@ -5tu:n-; 9BpLtunEtI/	n.|良机；机会|
oppose		v.|反对|
opposed		adj.|反对的|
opposite	/5CpEzIt; BpEzIt/	adj.|另一侧的；相对著的|
opposition		n.|反对|
ops		|Office Price Stabilization,物价管制局|
opsin		n.|[生化]视蛋白|
opt	/Cpt; Bpt/	v.|决定做某事物；选择|
optic	/5CptIk; BptIk/	adj.|尤；眼睛的；视觉的|
optimism		n.|乐观|
optimistic		adj.|乐观的|
option		n.|选项|
optional		adj.|可选的|
opus	/5EUpEs; opEs/	n.|编号的音乐作品（通常以出版的先後为序）|
or	/R:(r); Rr/	conj.|或者；否则|
or else		conj.|否则|
ora		n.|<拉>[解]口|
orach		n.|<主美>=orache|
oracy		n.|口语能力|
orad		adv.|向口|
oral	/5R:rEl; RrEl/	adj.|头的；述的|
oran		|奥兰[阿尔及利亚西北部港市]|
orang		|(=orangutan)|
orange	/5CrIndV; ?@ 5R:r-; RrIndV/	n.|柑橘；橙|
orans		n.|'=orant|
orant		n.|(早期基督教美术中的)妇女祈祷像|
orate		vi.|演说|
orb	/R:b; Rrb/	n.|或；球体；星球；天体；尤指）日；月；行星|
orbed		adj.|球状的 圆形的|
orbit	/5R:bIt; RrbIt/	n.|天体运行的）轨道|
orc		n.|逆戟鲸|
orca		n.|逆戟鲸|
orchard		n.|果园|
orchestra		n.|管弦乐队|
orcin		n.|[化]苔黑素|
ordeal		n.|磨难|
order	/5R:dE(r); RrdL/	n.|顺序；命令；订单；v.|订购|
ordinary		adj.|普通的|
ordo		n.|(天主教的)教会历书(记载每天的礼拜式和全年节日等)|
ore	/R:(r); Rr/	n.|矿石|
oread		n.|[希神][罗神]俄瑞阿得(山岳女神)|
orel		|奥廖尔[苏联西部城市](在莫斯科之南)|
orem		|奥勒姆[美国犹他州中北部城市]|
oreo		n.|<美俚>(奉行白人社会准则的)""白心""黑人|
orfe		n.|[鱼]圆腹雅罗鱼(一种观赏鱼)|
organ	/5R:gEn; Rr^En/	n.|器官|
organic		adj.|有机的|
organism		n.|有机体|
organization		n.|组织|
organize		v.|组织|
organizer		n.|组织者|
orgie		n.|纵酒狂欢|
orgy	/5R:dVI; RrdVI/	n.|常作义；狂欢（通常伴有纵酒、 淫乐的行为）|
oribi		n.|[动]侏羚(产于非洲)|
oriel	/5R:rIEl; RrIEl/	n.|凸肚窗|
orient		v.|定向|
orientation		n.|方向|
origin		n.|起源|
original		adj.|原始的|
originate		v.|起源|
orins		|Oak Ridge Institute of Nuclear Studies(美国) 橡树岭原子核研究所|
orion		n.|Diana 所爱的猎人|
orle		n.|(盾形纹章的)内缘饰边|
orlon		n.|[纺]奥纶|
orlop		n.|[船]最下层甲板|
ormer		n.|鲍|
ormuz		|'=Hormuz|
ornament		n.|装饰品|
ornl		|Oak Ridge National Laboratory (美国)国立橡树岭实验所|
orphan		n.|孤儿|
orpin		n.|(=orpine)[植]景天|
orrin		n.|奥林(m.)|
orris		n.|[植]鸢尾草|
orrow		adj.|<苏格兰> =orra|
orsk		|奥尔斯克[苏联乌拉尔城市]|
orson		n.|奥森(m.)|
ort		n.|剩菜|
oryol		|'=Orel [变体]|
oryx	/5CrIks; ?@ 5R:r-; RrIks/	n.|非洲）大羚羊|
orzo		n.|[总称]米粒状面食|
os	/9EU 5es; 9o Zs/	abbr.|英国全国地形测量局绘制的地图|
osa		|Order of St. Augustine (天主教)奥斯定会|
osage		n.|奥色治人|
osaka		|大阪[日本本州岛西南岸港市]|
osar		|os 的复数|
osb		|Order of St. Benedict (天主教)本笃会|
oscan		n.|欧斯干人|
oscar	/5CskE(r); RskL/	n.|奥斯卡金像（奖）（在美国为优秀电影导演、 演员、 编剧等颁发的年奖）|
osd		|On Screen Display,用于显示器与用户交互的重要窗口|
osee		n.|'=Hosea|
osf		|Order of St. Francis (天主教)方济各会|
osfcw		|Office of Solid Fuels Coordinator for War (第二次世界大战时的)作战用固体燃料协调人办事处|
osi		|Open System Interconnect Reference Model,开放式系统互联参考模型|
osier	/5EUzIE(r); ?@ 5EUVEr; oVL/	n.|杞柳（柳条可编筐篮）|
oslo		n.|奥斯陆(挪威的首都)|
osmic		adj.|锇的|
osmol		n.|[化]渗摩(用克分子表示的渗透压单位)|
oso		|Orbiting Solar Observatory|
osp		|Optical Signal Processor ,光信号处理器|
ospf		|Open Shortest Path First,开放最短路优先|
osrd		|Office for Scientific Research and Development (美国)科学研究与发展局|
oss		|open source software,开放源代码软件|
ossa		|os的复数|
osset		n.|(主要居住在高加索奥塞梯地区的)奥塞梯人|
ossia		conj.|[音]或|
ossie		n.|&|
ost		|Office of Science and Technology (美国)科学技术局|
ot		abbr.|参看|
otaru		|小樽[日本北海道西部港市]|
otary		n.|[动]海狮|
otb		|offtrack betting 场外赛马赌博|
otec		n.|海洋热能转换系统|
otek		n.|欧泰科技股份有限公司|
otf		|On The Fly,飞速刻录|
other	/5QTE(r); QTL/	adj.|其他的；pron.|另一个|
otherwise		adv.|否则|
othin		n.|'=Odin|
otic		adj.|耳的|
otis		n.|奥蒂斯(m.)|
otp		|Open Trading Protocol,开放商务协议|
ots		|Officers' Training School(美国空军)军官训练学校|
ottar		n.|'=attar|
otter	/5CtE(r); BtL/	n.|水獭；见附录；插图；水獭毛皮|
otto		n.|玫瑰油|
ou	/9EU 5ju:; 9o ju/	abbr.|开放大学|
ouch	/aUtF; aJtF/	|表示突然疼痛|
oud		n.|乌得琴(中东和北非的一种弦乐器,状似诗琴)|
ouds		|Oxford University Dramatic Society(英国)牛津大学戏剧协会|
ought		aux.|(～ to [verb]) 应当|
oui		adv.|是|
ouija	/5wi:dVE; widVE/	n.|专利名；灵应牌（上有字母等符号；用於降神会中接收亡魂传来的信息）|
oujda		|乌杰达[摩洛哥东北部城市]|
ounce	/aUns; aJns/	n.|盎司（；磅；等於；克）；见附录|
oup		|Oxford University Press(英国)牛津大学出版社|
our	/B:(r), 5aUE(r); Br, aJr/	pron.|我们的|
ourn		pron.|<方>=ours|
ours	/B:z, 5aUEz; Brz, aJrz/	pron.|我们的|
ousel		|(=ouzel)|
oust	/aUst; aJst/	v.|免某人（职）；罢黜；剥夺；取代|
out	/aUt; aJt/	adv.|出去；在外|
out of		prep.|从……出来|
out of breath		adv.|气喘吁吁|
out of control		adv.|失控|
out of date		adj.|过时的|
out of doors		adv.|在户外|
out of duty		adv.|出于责任|
out of fashion		adj.|不流行|
out of hand		adv.|失控|
out of one's reach		adv.|够不着|
out of one's senses		adv.|失去理智|
out of order		adv.|出故障|
out of pity		adv.|出于同情|
out of place		adv.|不合适|
out of question		adv.|毫无疑问|
out of repair		adj.|失修|
out of respect for		prep.|出于对……的尊敬|
out of shape		adj.|变形|
out of sight		adv.|看不见|
out of sight, out of mind		n.|眼不见心不烦|
out of sorts		adj.|不舒服|
out of step		adj.|步伐不一致|
out of the question		adj.|不可能|
out of the way		adv.|不挡道|
out of thin air		adv.|凭空|
out of work		adv.|失业|
outbreak		n.|爆发|
outcome		n.|结果|
outdo	/9aUt5du:; aJtdu/	v.|比（某人）做得多或做得好；超过；胜过|
outdoor		adj.|户外的|
outen		prep.|<方>从......里面|
outer	/5aUtE(r); aJtL/	adj.|外面的；外部的；为外边的|
outfit		n.|装备|
outgo		v.|走得比...远或快|
outlet		n.|出口|
outline		n.|大纲|
outlook		n.|观点|
output		n.|产量|
outrage		n.|愤怒|
outrageous		adj.|令人愤怒的|
outre	/5u:treI; ?@ u:5treI; utre/	adj.|法；或谑；尤指行为、 思想、 情趣等）非传统的；异常的；奇特的；怪的|
outright		adv.|完全地|
outset		n.|开始|
outside	/9aUt5saId; aJtsaId/	n.|通常作；外面；外部|
outstanding		adj.|杰出的|
outward		adj.|向外的|
ouzel	/5u:zl; uzl/	n.|黑鸫|
ouzo	/5u:zEU; uzo/	n.|茴香烈酒（希腊产；通常搀水饮用）|
oval	/5EUvl; ovl/	n.|卵形的；椭圆形（的）|
ovary	/5EUvErI; ovErI/	n.|卵巢|
ovate		adj.|卵形的|
oven	/5Qvn; QvEn/	n.|烤炉；烤箱|
over	/5EUvE(r); ovL/	prep.|在……上方；超过|
over and over		adv.|反复|
over the hill		adj.|过了巅峰期|
over there		adv.|在那边|
overall		adj.|总体的|
overcome		v.|克服|
overdue		adj.|过期的|
overhead		adv.|在头顶|
overhear		v.|偷听|
overlap		v.|重叠|
overlook		v.|忽视|
overnight		adv.|过夜|
overseas		adv.|海外|
oversee		v.|监督|
overt	/5EUv\:t; ?@ EU5v\:rt; ov[t/	adj.|公开的；不隐秘的|
overtake		v.|超过|
overthrow		v.|推翻|
overturn		v.|翻倒|
overwhelm		v.|压倒|
overwhelming		adj.|压倒性的|
ovid		n.|奥维德|
ovine		adj.|绵羊的|
ovir		n.|(苏联的)签证和登记处|
ovl		n.|[计] 覆盖文件的扩展名|
ovoid	/5EUvRId; ovRId/	adj.|卵形的；卵形物|
ovolo		n.|[建]圆凸形线脚装饰|
ovr		|改写(=Overwritr),覆盖(=Overload)|
ovule		n.|胚珠|
ovum	/5EUvEm; ovEm/	n.|生；卵；卵子；卵细胞；见；插图；参看|
ow		int.|表示突然疼痛所发出之声|
owe	/EU; o/	v.|欠；归功于|
owen		n.|欧文(m.)|
owes		v.|亏欠|
owi		|Office of War Information(第二次世界大战时的)(美国)作战新闻处|
owing	/5EUIN; oIN/	adj.|尤指挣的、 借的或允诺的钱）未付；欠著|
owing to		prep.|由于|
owing to the fact		prep.|由于|
owl	/aUl; aJl/	n.|猫头鹰（传统上认为是聪明的象徵）|
owler		n.|走私者|
owlet	/5aUlIt; aJlIt/	n.|幼枭；小猫头鹰|
owly		adj.|像鸮的|
own	/EUn; on/	adj.|自己的；v.|拥有|
owner	/5EUnE(r); onL/	n.|物主；某物的所有者|
ownership		n.|所有权|
ox	/Cks; Bks/	n.|去势的）大公牛（尤指旧时供役使或食用的）；参看|
oxbow		n.|牛轭U字形部分|
oxeye		n.|[植]牛眼菊|
oxfam	/5CksfAm; Bks9fAm/	abbr.|牛津饥荒救济委员会（也译乐施会）|
oxfly		n.|[昆]牛蝇|
oxid		n.|[化]氧化物|
oxide	/5CksaId; BksaId/	n.|化；氧化物|
oxim		n.|'=oxime|
oxlip		n.|樱草之一种|
oxo		adj.|[化]含氧的|
oxon	/5Cksn; BksBn/	abbr.|地址中）牛津郡（源自拉丁|
oxter		n.|腋下|
oxygen		n.|氧气|
oyer		n.|[律]听讼|
oyes		int.|听|
oyez	/EU5jez; ojZz/	|肃静；的喊声（连喊三次）；尤指旧时）街头公告员或法庭中的官员的呼喊|
oz		abbr.|或不变或作；盎司（源自意大利|
ozone	/5EUzEUn; ozon/	n.|臭氧；海边等的）清新空气|
