b	/bi:; bi/	abbr.|指铅笔心）黑色色重的（因质软之故）|
be keen on		v.|喜爱|
be known as		v.|被称为|
be known for		v.|因……著名|
be known to		v.|为……所知|
be late for		v.|迟到|
be late with		v.|延误|
be likely to		v.|很可能|
be loyal to		v.|忠于|
be mad at		v.|对……生气|
be made from		v.|由……制成|
be made into		v.|被制成|
be made of		v.|由……制成|
be made up of		v.|由……组成|
be mistaken about		v.|弄错|
be nervous about		v.|对……紧张|
be obliged to		v.|不得不；感激|
be on cloud nine		v.|欣喜若狂|
be opposed to		v.|反对|
be particular about		v.|对……挑剔|
be patient with		v.|对……耐心|
be popular with		v.|受……欢迎|
be prepared for		v.|为……准备|
be present at		v.|出席|
be pressed for		v.|缺少（时间）|
be proud of		v.|为……自豪|
be proud that		v.|自豪|
be puzzled about		v.|对……困惑|
be qualified for		v.|胜任|
be ready for		v.|准备好|
be ready to		v.|准备好|
be regarded as		v.|被视为|
be related to		v.|与……有关|
be relevant to		v.|与……相关|
be reluctant to		v.|不愿|
be responsible for		v.|对……负责|
be responsible to		v.|对……负责|
be rich in		v.|富含|
be satisfied that		v.|满意|
be satisfied with		v.|对……满意|
be scared of		v.|害怕|
be seated		v.|就座|
be senior to		v.|比……年长|
be sensitive to		v.|对……敏感|
be short of		v.|缺乏|
be sick of		v.|厌倦|
be silent about		v.|对……沉默|
be similar to		v.|与……相似|
be skilled in		v.|擅长|
be strict with		v.|对……严格|
be subject to		v.|受制于|
be successful in		v.|在……方面成功|
be superior to		v.|优于|
be supposed to		v.|应该|
be sure about		v.|确信|
be sure of		v.|确信|
be surprised at		v.|对……惊讶|
be surrounded by		v.|被……环绕|
be suspected of		v.|被怀疑|
be sympathetic to		v.|同情|
be talented in		v.|在……有天赋|
be thankful for		v.|感谢|
be thirsty for		v.|渴望|
be tired from		v.|因……疲劳|
be tired of		v.|厌倦|
be tolerant of		v.|容忍|
be true of		v.|适用于|
be typical of		v.|是……的典型|
be unaware of		v.|不知道|
be uncertain about		v.|对……不确定|
be unconscious of		v.|未意识到|
be unfit for		v.|不适合|
be united as one		v.|团结一致|
be used for		v.|被用于|
be used to		v.|习惯于|
be used to doing		v.|习惯于做|
be valuable to		v.|对……有价值|
be weak in		v.|在……方面弱|
be well known		v.|众所周知|
be willing to		v.|愿意|
be willing to do		v.|愿意做|
be worried about		v.|担心|
be worth doing		v.|值得做|
bea		n.|比衣(Beatrice的昵称)(f.)|
beach	/bi:tF; bitF/	n.|海滩；湖滩；滩地|
bead		n.|珠子|
beady	/5bi:dI; bidI/	adj.|指眼睛）小而圆；晶亮如珠子的|
beak	/bi:k; bik/	n.|鸟喙；见附录；之插图|
beaky		adj.|像鸟嘴的|
beam	/bi:m; bim/	n.|梁|
beamy		adj.|放射光线的|
bean	/bi:n; bin/	n.|豆子|
beano	/5bi:nEU; bino/	n.|旧|
bear	/beE(r); bZr/	v.|忍受；承担；生（孩子）|
bear comparison with		v.|比得上|
bear in mind		v.|记住|
beard	/bIEd; bIrd/	n.|下巴和面颊下部的）胡须；络腮胡子|
beast	/bi:st; bist/	n.|旧或；动物（尤指大的、有四条腿的）|
beat	/bi:t; bit/	v.|打；击败；n.|节拍|
beat about the bush		v.|旁敲侧击|
beat around the bush		v.|拐弯抹角|
beat the air		v.|白费力气|
beata		n.|[天主教]受赐福之妇女|
beaty		adj.|摇摆的|
beau	/bEU; bo/	n.|男友；情郎|
beaut	/bju:t; bjut/	n.|美；澳；俚；美人；美好的东西|
beautiful	/5bju:tIfl; bjutEfEl/	adj.|美丽的；美观的；美好的|
beautify		v.|美化|
beauty		n.|美丽|
beauty is in the eye of the beholder		n.|情人眼里出西施|
beaux		pl.|喜修饰者|
bebop	/5bi:bCp; bibBp/	n.|比博普（一种具有复杂的节律与和声的爵士音乐）|
bec		|bachelor of economics,经济学士|
because		conj.|因为|
because of		prep.|因为|
beck	/bek; bZk/	n.|方|
becky		n.|贝基(Rebecca的昵称)(f.)|
become		vi.|变成|
become of		v.|……怎么样了|
bed	/bed; bZd/	n.|床|
bed of roses		n.|安逸的生活|
bedad		int.|天哪|
bedck		v.|装饰|
beddo		n.|电子床|
beddy		adj.|(石)有天然裂缝而易于裂开的|
bedel		n.|捧持(牛津,剑桥大学)校长权标的属员|
bedew		vt.|沾湿|
bedge		n.|徽章|
bedim		v.|模糊|
bedin		n.|示威游行|
bedroom		n.|卧室|
bedu		n.|[单复同] &|
bee	/bi:; bi/	n.|蜜蜂；见插图|
beeb	/bi:b; bib/	n.|英国广播公司|
beech	/bi:tF; bitF/	n.|山毛榉；见附录；之插图；其木材|
beef	/bi:f; bif/	n.|食用）牛肉|
beefy		adj.|身强体壮的；肌肉发达的|
been		|用法|
beep	/bi:p; bip/	n.|汽车喇叭或电子设备所发出的）嘟嘟声；哔哔声|
beer	/bIE(r); bIr/	n.|啤酒|
beery	/5bIErI; bIrI/	adj.|似啤酒的；啤酒味的|
beet	/bi:t; bit/	n.|甜菜|
beetle		n.|甲虫|
bef		|British Expeditionary Force(s)英国远征军|
befit	/bI5fIt; bIfIt/	v.|只用於第三人称；适合於（某人）；合适|
befog	/bI5fCg; bIfB^/	v.|把（某人[某事物]）弄糊涂；使模糊|
before	/bI5fR:(r); bIfRr/	prep.|在……之前；conj.|在……以前|
before everything		adv.|首先|
before long		adv.|不久以后|
beforehand		adv.|事先|
beg	/beg; bZ^/	v.|乞求（金钱、食物、衣服等）；行乞|
begad		int.|天哪(一种发誓或强调的虚词,多用于幽默谈话中)|
began		vbl.|begin的过去式|
begar		|<印地>|
begat		v.|<废> beget的过去式|
begem		vt.|用宝石装饰 使如同镶宝石一般|
beget	/bI5get; bI^Zt/	v.|语拼作|
beggar		n.|乞丐|
beggars can't be choosers		n.|饥不择食|
begin	/bI5gIn; bI^In/	v.|使（某物）启动；开始|
begin at		v.|从……开始|
begin with		v.|以……开始|
begob		int.|<爱尔兰>=begad|
begot		vbl.|beget的过去式|
begum	/5beIgEm; be^Em/	n.|穆斯林贵妇|
begun		vbl.|begin的过去分词|
behalf		n.|代表|
behar		|'=Bihar|
behave		v.|表现|
behavior		n.|行为|
behind	/bI5haInd; bIhaInd/	prep.|在……后面|
beibu		|Gulf北部湾(在中国和越南之间)|
beige	/beIV; beV/	adj.|米黄色（的）|
being	/5bi:IN; biIN/	n.|存在|
beira		|贝拉[莫桑比克东南部港市]|
beja		n.|贝沙族(人,语)|
bekaa		|贝卡[黎巴嫩中部一谷地]|
bel		n.|贝尔(音量比率之单位)|
belat		n.|强烈西北风|
belau		|贝劳(共和国)(太平洋岛屿托管地,即密克罗尼西亚美国托管地中的一个政治实体)|
belay	/bI5leI; bIle/	v.|登山和航海时）将（绳索）系绕於（桩子、岩石等）上以固定之|
belch	/beltF; bZltF/	v.|打嗝|
beld		adj.|秃头的|
belee		v.|置之下风|
belie	/bI5laI; bIlaI/	v.|使人对於（某事物）产生错误的或不符合实际的想法|
belief		n.|信念|
believe	/bI5li:v; bIliv/	v.|相信（某事物）的真实性；认为（某人）的话属实|
believe in		v.|相信；信任|
believe it or not		adv.|信不信由你|
bell	/bel; bZl/	n.|钟；铃|
bella		n.|(女子名)伊莎贝拉的昵称|
belle	/bel; bZl/	n.|美女；艳压群芳的美人|
belly	/5belI; bZlI/	n.|腹部；见；之插图；肚子；胃|
belong	/bI5lCN; ?@ -lR:N; bElRN/	v.|为某人之财物；属於|
belong to		v.|属于|
beloved		adj.|心爱的|
below	/bI5lEU; bElo/	prep.|在……下面|
belt	/belt; bZlt/	n.|腰带；裤带|
bema		n.|高座|
bemud		v.|使迷糊|
ben	/ben; bZn/	n.|苏格兰；名称中）山峰|
bench	/bentF; bZntF/	n.|木制或石制的）长凳|
bend	/bend; bZnd/	v.|弯曲；屈服|
bends	/bendz; bZndz/	n.|潜函病（深海潜水员因浮出水面太快而感到关节剧痛、呼吸困难的症状）|
bendy		adj.|弯弯曲曲的；迂回曲折的|
bene		n.|祈祷|
beneath		prep.|在……下方|
benefit		n.|好处|
benefit from		v.|受益于|
benet		v.|用网捕捉|
beng		|bachelor of engineering,工学士 (=BAI)|
benin		|贝宁湾(几内亚湾一部分,靠西非的尼日利亚、贝宁和多哥等国)|
benne		|(=sesame)|
benni		n.|'=benne|
benny		n.|安非他明药片|
bent	/bent; bZnt/	n.|通常作；对某事物的）特长；对某事物[做某事]的）爱好；嗜好|
bento		n.|盒饭或饭盒|
benty		adj.|硬草的|
benz		n.|奔驰牌汽车|
beppu		|别府[日本九州岛东北部城市]|
ber		|Basic Encoding Rules,基本编码规则|
berat		n.|统治者赐给人民的权利|
bere		n.|大麦的一种|
beret	/5bereI; ?@ bE5reI; bEre/	n.|贝雷帽（扁圆的无檐帽；通常用柔软的布或毡制成）；见；之插图|
berg		n.|(=iceberg)冰山|
berk	/b\:k; b[k/	n.|俚；笨蛋（尤指男子）|
berm		n.|城墙与外濠间之狭道|
berme		n.|城墙与外濠间之狭道|
bern		n.|伯尔尼|
berne		n.|伯尔尼(瑞士首都)|
berry	/5berI; bZrI/	n.|聚合果|
bert		n.|伯特(Albert,Herbert,Bertram的昵称 亦作Burt)(m.)|
berth	/b\:W; b[W/	n.|船、列车等的）卧铺|
beryl	/5berEl; bZrEl/	n.|绿宝石；绿柱石；绿玉|
bes		n.|(埃及神话中的)喜神贝斯|
beset	/bI5set; bIsZt/	v.|被动语态；围绕（某人[某事物]）；镶嵌；困扰；威胁|
beside		prep.|在旁边|
beside the point		adj.|离题|
besides		adv.|此外|
besom		n.|长扫帚|
besot		vt.|使烂醉|
bess		n.|贝丝(女子名)|
bessy		n.|贝茜(女子名)|
best	/best; bZst/	adj.|最好的；adv.|最好|
bet	/bet; bZt/	v.|打赌；赌博|
bet one's bottom dollar		v.|孤注一掷|
beta	/5bi:tE; ?@ 5beItE; betE/	n.|希腊语字母表中的第二个字母（|
betel	/5bi:tl; bitl/	n.|槟榔|
beth		n.|贝丝(女子名,Eligabeth的昵称)|
beton		n.|<法>混凝土|
betray		v.|背叛|
betsy		n.|Elizabeth (伊莉莎白)的昵称|
betta		n.|[鱼]搏鱼|
better	/5betE(r); bZtL/	adj.|更好的|
better late than never		n.|迟做总比不做好|
betty		n.|贝蒂|
between	/bI5twi:n; bEtwin/	prep.|在……之间|
bev		n.|[物]十亿电子伏|
bevel	/5bevl; bZvl/	n.|斜边或斜面（如镜框或玻璃板的边缘）；见插图|
beverage		n.|饮料|
bevin		|boy <英>达到服兵役年龄但被选去当矿工的青年|
bevy	/5bevI; bZvI/	n.|一群|
beware		v.|当心|
bey		n.|(奥斯曼帝国,土尔其较小地区的)州长|
beyond	/bI5jCnd; bIjBnd/	prep.|在或向（某物）的远处|
beyond belief		adv.|难以置信|
beyond control		adv.|无法控制|
beyond description		adv.|难以形容|
beyond doubt		adv.|毫无疑问|
beyond expectation		adv.|出乎意料|
beyond measure		adv.|无法估量|
beyond question		adv.|毫无疑问|
beyond repair		adv.|无法修复|
beyond the reach of		prep.|超出……范围|
bez		|antler 鹿角的第二叉|
bezel		n.|凿的刃角|
bfa		|Bachelor of Fine Arts 美术学士|
bfc		|Bureau of Foreign Commerce (美国商务部)对外贸易局|
bfpo	/9bi: ef pi: 5EU; 9bi Zf pi o/	abbr.|英国军邮局|
bfr		|Buffer Under Run,缓存器欠载|
bft		|Binary File Transfer,二进制文件传输|
bgc		|British Gas Council 英国煤气委员会|
bgp		|Border Gateway Protocol,边界网关协议|
bha		|butylated hydroxyanisole|
bhamo		|八莫[缅甸北部城市](旧称新街)|
bhang		n.|(印度)大麻|
bhave		|倡导,呼吁地主捐献土地以分给无地的不可接触者,即""贱民"")|
bhc		n.|[化]六氯(化)苯|
bhil		n.|比尔人(住在中印度山区)|
bhl		|Bachelor of Hebrew Letters (或 Literature) 希伯来文学学士|
bhn		|Brinell hardness number [冶]布氏硬度值|
bht		|butylated hydroxytoluene|
bhut		n.|(印度的)恶魔|
bi		|前缀；二；两次|
bia		|Business Internet Analytics,互联网络业务分析|
bialy		|<美>比亚利碎洋葱面包卷|
bias	/5baIEs; baIEs/	n.|偏见；成见；偏心|
bib	/bIb; bIb/	n.|小儿用的）围嘴|
bible	/5baIbl; baIbl/	n.|圣经（包括旧约和新约的基督教圣书）；圣经的本|
bice		n.|灰蓝色|
bicho		n.|<美俚><忌>男性生殖器|
bicky		n.|<英口>饼干(用作儿语)|
bicol		n.|'=Bikol|
bicycle		n.|自行车|
bid	/bId; bId/	v.|用於下述第；义时过去式通常作|
biddy		n.|小鸡|
bide	/baId; baId/	v.|学|
bidet	/5bi:deI; ?@ bi:5deI; bide/	n.|洗生殖器和臀部用的）坐浴盆|
bidon		|<法>|
bie		|Bachelor of Industrial Engineering 工业工程学士|
bield		|<苏格兰>Ⅰ|
bier	/bIE(r); bIr/	n.|棺材架；停尸架|
bifer		n.|一年开花或结实两次的植物|
biff	/bIf; bIf/	n.|猛击（尤指用拳）|
bifid		adj.|[植]两半的|
big	/bIg; bI^/	adj.|在体积、面积、范围、程度或强度方面）大的|
big fish in a small pond		n.|小池塘里的大鱼|
bigg		n.|大麦之一种|
bight	/baIt; baIt/	n.|海湾|
bigot	/5bIgEt; bI^Et/	n.|偏执的人（尤指在宗教信仰或政治方面）|
bihar		n.|比哈尔(印度北部的邦)|
bijou	/5bi:Vu:; biVu/	n.|法；珠宝；首饰|
bike	/baIk; baIk/	n.|自行车；脚踏车|
biker		n.|骑摩托车的人|
bikie		n.|<主澳><俚>骑摩托车的人(尤指属某一团伙者)|
bikky		n.|'=bicky|
bil		|billion 十亿|
bilbo		n.|好剑|
bile	/baIl; baIl/	n.|胆汁|
bilge	/bIldV; bIldV/	n.|舱底；比部（船底内部或外部近於平坦的部分）|
bilgy		adj.|舱底水般的|
bilk	/bIlk; bIlk/	v.|躲某人的债；骗取某人（某物）|
bill	/bIl; bIl/	n.|帐单|
billion		n.|十亿|
billy	/5bIlI; bIlI/	n.|露营时烹饪用的有盖和把的）铁罐|
bim		|British Institute of Management 英国管理学会|
bimbo		n.|<美俚>女人|
bin	/bIn; bIn/	n.|贮存面包、面粉、煤、酒等的通常有盖的）大箱子|
binal		adj.|两倍的 双重的 孪生的|
bind	/baInd; baInd/	v.|捆绑；约束|
bine	/baIn; baIn/	n.|攀生植物的蔓（尤指 草蔓）|
